choij**|배송은 빨랐는데 옷이 생각했던 거보다 많이 커요ㅠㅠ
choij**|50% 할인 할때 샀는데 무난하게 이쁜거 같아요~
paenghyun**|아직 입어보지는 못햇지만 옷만 봣을때 색감이나 핏 이런것들이 너무 마음에 들어요!!뭔가 펄렁펄렁 바람도 잘들어올꺼같고!!다른색도 같이 구매할깔 그랫나봐요!!아무튼 정말좋습니다!!고고싱 서비스도 정말좋고 옷 퀄리티도 짱짱맨이예욯ㅎ
gkdl79**|최고
paenghyun**|옷을 받자마자 정말 귀엽다는 느낌을 받앗어요!!진짜 귀엽습니다~그냥 딱 한장 입기에도 좋고 남방안애 입어도 좋을꺼같아요~여름에 정말 자주압어질꼬같고 데일리로 활용하기에도 안성맞춤이예요!!다른색도 잇엇으면 좋앗을꺼같아용~~~ㅎㅎ
dbal5**|멜란지 그레이 L사이즈샀는데.. 딱 좋아요.. 키가 워낙커서 길이가 조금더 길었으면 했지만 8부로 나온거니까 모 만족해요ㅋㅋㅋ가격에 비해 소재도 너무 좋구요.. 엄마가 한번 다림질 해주셔서 오늘 처음 입었습니다. 블랙으로 하나 더 주문하려구요^^
paenghyun**|정말 길이도 이쁘고 비침도 옶어요~요즘 치마들 너무 짧게 나와서 걱정햇는데 정말 딱 길이감이 제일 마음에 들어요!!분홍색을삿는데 카키색도 사고싶네요ㅠㅠ색감도 사진처럼 정확하고 딱이쁩니다!!서비스도 친절하시고 정말 좋아요!!자주 이용할께용
paenghyun**|저는 여성여성한 옷이 안어울리지만 도전정신을 가지고 주문햇는디 예상 외로 엄청잘어울리고 소재도 시원한 소재에용~색감도 그냥 딱 사진이랑 똑같고 제가 어깨가 쫌잇는편인데 부담스럽지 않게 입을수 잇어서 정말 좋은거 같습니다!!고민하고 계시다면 주문하세용
paenghyun**|배송이 늦는다고 친절하게 문자도 해주시고!상품도 그렇게 늦지않게받앗어요~3일정도 걸렷구요~정말 박시한 핏에 기본적인 옷이라 데르일리로 활용하기 정말정말 좋을것같아요!저는 네이비색상을 구매햇는데 다른 색상도 사고싶을 정도입니다!!앞으로도 자주 이용할꺼예용
yeri4**|제가 하비인데 쫀쫀하게잡혀요~근데다른속바지랑비교하자면 속바지가말려올라감ㅠㅠㅠㅠㅠ그래도만족
fox**|너무너무편하고 이뻐요 워낙에 땡땡이성애자라 ㅎㅎㅎㅎ배송도빨랏고 위에아무거나입어도 다 잘어울리네옹
sd05**|vv
heesoo0**|세일할때 산거라 진짜 가격대비 아주 좋게 잘 샀어요.네이비 샀는데 운동할 때 입으면 좋을거같아요.핏도 너무 부해보이지 않는 핏이고 두께도 너무 두껍지 않고 세트로 사니 완전 저렴해서 진짜 득템했네요.운동할때 잘입고 다닐게용!!
heesoo0**|세일해서 샀는데 제 가격주고 샀으면 아까웠을 거같아요.여름에 입을거라지만 소재가 참 얇구요 조금 짧아요. 너무 짧아서 바지나 치마에 못넣어 입을 정도는 아니지만 뭔가 활동하다보면 삐져나올거같은?넥쪽은 깔끔하고 이쁘네요.
heesoo0**|세일해서 샀는데 진짜 너무너무 완전 득템했네요. 일단 색감이 진짜 너무너무 이쁜 색감이구 쉬폰소재인데 그렇게 막 얇지는 않구요 화사하고 길이도 넣어입으면 될만큼 딱 적당한 길이에요.너무 이쁘고 좋아요.진짜 제 가격주고 샀어도 안아까웠을 거같아요.색깔 너무 이쁘네요. 잘입고 다닐수 있을 거같아요! 단추도 안보여서 너무 깔끔해요
heesoo0**|소재도 좋고 얇고 구김도 잘 안가는 소재고 디자인도 이쁘고 실밥처리도 괜찮게 되있어서 맘에 들어용!시키고 나서 보니 이거랑 비슷한 디자인 셔츠가 있다는 걸 알았지만 색은 다르니깐 잘 입고 다닐거같아요.무난하면서도 깔끔하기도 하고 이쁩니다!!!
bloom2**|블랙으로 샀는데 깔끔해요가격대비 옷은좋아요~배송은 좀 그랬지만....약간 흐물한데 굉장히 박시하고 길이도 좀 길어서 안에 넣어서 입어야할것같아요
ghfghf**|포토후기 2등이예요~오늘 택배가 도착했어요. 역시 고고싱은 배송이 빨라서 좋아요:D비가 와서 날씨도 쌀쌀해서 입고 가면 예쁠 것 같아서 장화랑 같이 입고 나갔어요.품도 크고 넥도 조금 파여있고 소매부분 시보리도 헐렁헐렁해서 아쉽지만디자인 자체가 그 마저도 예쁘게 보이게 하는 듯 하네요.편하게 안에 코디해 입기 좋은 것 같아요. 예뻐요.
hayerin**|ㅋㅋㅋ이건 갠추내ㅔ여 재질도 보덜보덜
hayerin**|딱히 많이 안예뻐요!
hayerin**|이거 무난..ㅎ
hayerin**|하하 이거 이뻐요
rlfdmsrud**|처음받아보고 생각보다 길어서 당황했어요 근데 입고 다녀보니까 괜찮은거 같아요 스판끼가 짱짱해서 활동하기 편해요 흰색인데 비치지 않아요~ M살까 S살까 엄청고민했는데 집에있는 치마랑 비교해보고 S샀는데 잘 맞아요~ 검은색이랑 핑크색도 사고싶어요~ 가격대비 완전추천합니다!!
az100**|목부분도 짱짱한거같고 색깔도 괜찮아요 이쁘게 잘입을게요 그리고 배송이빨라서 좋앗어요
az100**|가격대비 괜찮은거같아요~~~천이얇긴한대 괜찮아요 잘맬게요
rlfdmsrud**|너무이뻐요~ 핏도 괜찮고 추천합니다~면도 좋아요~ 바지랑 치마 아무대나 코디해도 이쁠 것 같아요이쁘게 잘 입을게요~~
sojungk**|처음에 왔을때 너무 구겨져있어서 좀 그랬어요 싼만큼 다려입어야하는건 저의 몫인듯..키가 큰편이라 테니스 어디서 살지 고민엄청하다가 싼맛에 질렀는데 입어보니깐 길이도 적당하고 괜찮네요 검은색으로 하나 더 구매할 예정! 속바지가 달려있어서 더 편하고 좋은듯 ~
dltndus8**|포토후기 1등이에요^^!!우선 색깔이 흔하지 않아서 좋고 길이감도 너무너무 좋네요다만 어깨선이 내려와서 좀 넓어보이는건 감안해야 할것같아요사이즈도 넉넉해서 완전대만족!!남방안에 받쳐 입거나 해도 너무 이쁘네요편하게 두루두루입을수 있는 기본티!!소재도 너무 얇지 않아서 비침 전혀없구요다만 여름에 입기에는 좀 덥지않을까ㅎㅎㅎㅎ이쁘게 입겠습니다고고싱 감사합니다~^ㅡ^!!
ksa011**|제가 마른편이라 그런건진 몰라두 생각보다 되게되게 박시하네여!' 엄청 커요ㅋㅋㅋㅋ소매통도 넓구.. 근데 좀 두툼한 재질 찾고잇엇는데 너무 얇지않아서 두께감 좋은거같아요
dltndus8**|포토후기에요^^!!티가 너무 귀엽네요 디자인도 완전 제스타일이에용가볍게 입고 다니기 좋을것같아요~이너로도 두루두루 입을 수 있고청반바지랑 잘 어울리는것같아요제일 필요한 기본티^^!!!하얀계열인데도 안 비치고 너무 이쁘네요사이즈도 무난하게 나와서 너무 만족합니다^^고고싱 감사합니다~
