hsyk1**|좋아요! 허리가 크다고 해서 좀 걱정했는데 저한텐 딱맞고 좋네요 ㅋㅋㅋ 얇고 편해요!
dbsk85**|어떤 색깔의 바지랑 입어도 다 잘어울려요~~ 살짝 비치니까 나시같은거랑 같이 입으면 좋을거같아요~ 질도 좋고 슬랙스같은 종류의 바지랑 입어도 잘어울리니까 기본티로 좋은거 같아요~ 색깔도 살색? 비슷해서 더 여성스러워 보이는 거 같아요~
dbsk85**|핑크색으로 구매했는데 질도 좋ㅇ고 색감은 포도색? 좀 어두운 핑크색인데 더 좋아요!! 그냥 핑크색이였으면 부담스러워서 못입었을 텐데 색깔이 맘에들고 얼굴이 화사해보여요~ 가격도 저렴해서 하나가지고 있으면 코디해서 입기 좋으실거 같아요~~
dbsk85**|청멜빵치마랑 같이 입으면 예뻐요! 그냥 청바지에 같이 코디해서 입어도 잘어울려요! 옷자체가 예쁘게 나온거 같아요 여성스러워요~ 근데 기장이 좀 짧은편이라서 몸 숙일때 좀 올라간다고 해야하나(?) 그것만 빼면 다좋아요~~ 자주 입고 있습니다!
dbsk85**|꽃무늬가 되게 예뻐서 얼굴을 좀더 화사하게 만들어주는 거 같아요! 그리고 가격도 저렴해서 더 좋아요 ㅠㅠ! 재질도 좋아서 오래오래 입을 수 있을 거 같아요! 꽃무늬가 촌스럽지도 않고 뭔가 사람을 세련되게 보이게 하는 것 같아서 좋아요! 사셔도 후회안하실거에요~~
am95**|너무이뻐요
am95**|이ㅃㅓ요ㅎㅎㅎ
dbsk85**|졸업사진 찍을때 고고싱에서 산 브라우스랑 같이 입었는데 진짜 예뻤어요!! 친구들도 다 어디서 샀냐고 물어보고 쇼핑몰 이름 물어본 친구도 있었어요^^ 여성스러워 보이고 이쁘니까 후회 없으실꺼에요! 근데 치마가 좀 짧다보니까 바람불때 주의해주셔야될거같아요!
dbsk85**|졸업사진 찍을때 고고싱에서 산 치마랑 같이 입었는데, 진짜 예뻤어요!! 친구들도 다 어디서 샀냐고 물어보고 쇼핑몰 이름 물어본 친구도 있었어요^^ 여성스러워 보이고 이쁘니까 후회 없으실꺼에요! 근데 처음에는 옷이 좀 구겨서와서 스팀다림기로 다려주니까 예쁘게 펴졌어요~
jeongh0**|배송 짱- 빠름ㅋㅋㅋㅋㅋ허리랑 허벅지랑 기장 다 잘 맞고색도 진짜 예뻐요~밝은 청바지라 지금 입기에도 하늘하늘한게 예뻐요여름에도 가끔 입어야겠어요ㅎㅎ특히 이 바지는 냄새가 별로 안나서 더 좋았던것같아요ㅎ바지도 예쁨!! 그래서 만족♡ㅎㅎㅎ
khs15**|저번에와인색상구매하고너무맘에들고편했어서번에다시네이비색상주문했는데요 역시맘에들구예뻐요!!도착했을때구김이살짝있었어요 ㅠㅠ 사이즈도딱맞고약간짧긴한것같지만안에속바지가있어서편하게다닐수있어서좋은것같아요 ㅎㅎㅎ이가격에사시면후회안하실거예요 추천합니다!!!
