150063834**|키가 작은데도 길이가 조금 짧긴 하지만 안에 검은 반바지 입고 입으면 딱 이쁠것같아요 !!!! 이 가격에 이쁜 옷 살 수 있어서 넘무 좋습니다 ㅠ.ㅠ 고고싱 자주 올게욥 ♥️♥️
scp**|너무이뻐요!! 생각외로 질도좋구 핑크삿는데 우유핑크색깔이라 촌스럽지않고 이뻐요!! 입어보세요
hyjeon02**|L인데도 작게 나온거 같아요,,,!?? 조금 ㅇ널널하게 입고 싶었는데 딱맞는거 같아여,, 그래도 이쁘게 딱맞아서 좋아요!!
hyjeon02**|너무 이뻐요!!!! 블루가 촌스러운 블루가 아니어서 좋아요!! 길이도 길지도 않고 짧지도 않아서 바지나 치마 안에 넣어 입으면 이뻐욧!!
ksh0401**|붉은악마 같다는 소리를 좀 듣기는 하는데 검은치마랑 입으면 짱예뻐여 고고싱 늘 믿고 삽니다♡♡
ksh0401**|티는 예쁜데 목이 넘 잘늘어나여ㅠㅠ 그래도 5천원에 이정도면 가성비 괜찮다고 생각합니다...!
ksh0401**|고고싱에거 산 티셔츠 중에 이게 젤 맘에 들었어요 반팔치고 두툼해서 목도 안늘어나고 좋아요♡♡
ksh0401**|진짜 이가방 다들 예쁘다고 난라났어요 생각보다 크기가 크긴한데 진짜 예뻐요 다들 꼭 사세요 저는 학원책까지 들어갔어요!!
ksh0401**|예뻐요 근데 롤업해서 입으면 롤업이 깔끔하게 안되고 그렇다고 안하자니 길이가 애매해여.. 다른바지 사는걸 추천합니다
676608349208841**|진짜짱입니다갠차나용 짱짱짱..........  ..     ...................
676608349208841**|별로입니다 반품하려구요많이크고요 진짜별로입니다....이번엔 망햇어요 다음엔 성공하겟죠...
676608349208841**|별로하늘색이보이고얇고진짜 뭐....색상관없어도.이상해여 600원이아까울만큼........
676608349208841**|??????왜 하늘색일까요 화이트시켯는데정말  600원싸서 산건데 100원이어야 살것같은 기분입니다.100원이라도살라나...엄청얇아서 발가락이다보여요 메니큐어 바른색도 티가나고..
jkop34**|하얀색 1개 검은색 1개샀는데 검은색은 딱 새탁했을때 물빠짐이..!그래도 색안빠지고 둘다 재질이랑 스판끼가 너무좋았어요! 하얀색3개 더 시키려고요♡
