dydghk07**|한사이즈크게사는것도괜찮을것같아요 단화가딱딱해서신기살짝불편한거빼고이쁘고귀여워서 또발작아보이는효과까지있어서좋아용!
10457177**|브라운인데 조명때문에 색감이 잘안잡히네요디자인 굳이예요 색상도 딱 예뻐요다만 치마길이가 저한텐 짧았어요재질이 뻣뻣해서 절대 안늘어나더라고요ㅠㅠ스판기 좀만 있었음 편했을텐데 하는 아쉬움만 살짝 있어요
flat**|고고싱 옷이 넘 좋아 구매했는데 이건 넘 실망스럽네요 올 배송 받아 낼 여행갈때 입으려구 망에 넣어 빨았는데 올이 다풀려버렸어요ㅠㅠ이걸 어찌해야할지 ㅠ 소매도 올이 다 풀려 봤더니 시접부분이 잘 되지 않았더라구요 옷은 넘이쁜데 이걸 입어야 될지 아님 교환해야할지 ?
ine08**|크롭후드랑 같이입을려고 시켰는데 ㅜㅜㅜ 왠걸 너무 찰떡입니다.. 하 진짜 이뻐요 .. ♡ 사길 잘한거같아요 ㅜㅜ 후기가 하나도 없길래 1초망설였습니다 ^^.. ㅋㅋㅋㅋㅋㅋㅋㅋ베이지 색도 같이 하나더 시킬까 했는데 ㅜㅜ 이미 베이지 바지를 사버려서 블랙으루만... 그리고! 하이웨스트라 다리도 더 길어보이고 와이드라 통도넓어서 되게 편해요!고고싱 흥해요 ♡
148026745**|안녕하세요:) 제가 진짜 엄청 고민끝에 산 치마인데 너무 예뻐요ㅠㅠ 얇기도 얇고 그렇게 짧지도 않아서 너무 딱 좋았어요! 급하게 위에 입을 옷이 없어서 입던거 재빠르게 넣고 찍은건데도 너무 예쁘네요ㅠㅠ 이번 가을때 이것만 입고 돌아다니겠어요 홍홍 그리고 제가 허리가 26인데 뒤에 밴드? 가 있어서 그런지 딱 붙어서 편하기도 편하고 다른치마는 항상 허리가 컷었는데 이건 허리걱정 안해도 되고 참 좋습니당ㅠㅠ 그리고 앉으면 치마는 저정도까지 와요! 어차피 겉옷 덮을거라서 신경 쓰이지 않아요홍 고민하시는분들 강추해요!아 그리고 양말도 고고싱 이랍니당 참 예쁘쥬♡ 고민하시는분들 꼭사세요ㅠㅠ두번사세요ㅠㅠ♡
yanbabaki**|너무 빨리 도착도했고 치마도 아주예쁘고 만족해요-!핑크색이 좀 어두운색갈이라서 진짜종말로 맘에 들었구요!!사이즈도 괜찮고! 많이 입을게요!!
ds357**|베이지 너무예뻐서 삿는데 실물이 더예뻐요...진짜 ㅎㅎ 롱치마가 거의다 트여잇는거만있어서 안트인거 사고싶었는데 진짜 이거 사길잘한거같아요 ㅎㅎ 사이즈도 딱맞고 통도예쁘게 빠지고! 만족합니다
ds357**|허리 사이즈 보니까 작게나온거같아서 한치수 큰거샀는데 큰거사길잘했네요 ㅎㅎ 요즘살이쪄서그런가.. 카키색상 샀는데 속바지도 있어서 너무맘에들어요ㅜㅠ 구겨져서 왓지만 그냥 입으려구요 !
kim40**|제가 키가작은 편은아닌데 입으니까 무릎밑이더라구요ㅠㅠ 그것빼고는 치마도 너무이쁘고 맘에들었어요
aldud69**|꼭 사세요. ㅠㅠㅠㅠㅠㅠ진짜 정말 후회없으실거에요 백빵 추천입니다 ❗️❗️ ❗️ 키가작아서 쫌 커보일수도 잇엇는데 전 원래 박시하게 입는걸 조아해서ㅓㅓ 그렇게 입는거 좋아하시는뷴은 추천합니당 ❗️❗️ 꼭 사세요 퓨ㅠㅠㅠㅠㅠㅠㅠ❗️❗️❗️❗️❗️
ds357**|이건 약간 배송이 느렸지만 생각보다 크기가 진짜커요..ㅋㅋ 깜짝놀람 길이도 허벅지 삼분의 일 가리구요 박시한거 좋아하는사람은 ㄴ만족하실거같아여 ㅎㅎ 사진은 밝게나왔는데 브라운색상 예쁘게 잘빠졋어요 ㅎㅎ
kim40**|솔직히 보자마자 너무 맘에 들어서 맨날 입고다니고 싶을만큼 이뻤어요팔길이도 너무길지도않고 짧지도 않아서 더 좋았구요ㅎㅎ
jem03**|포토후기 남깁니다 이건 보자마자 고민없이 질러버린 옷이에요 배송더 하루만에 오고 역시 고고싱 너무 만족스러워요 배송 어ㅏ서 바로 입어봤는데 박시하고 은근 두껍고 이제 날도 추운데 딱이에요 너무 이뻐요 고고싱 역시 실망시키지더 않고 가격도 저렴하고
aldud69**|아 완젼 추천이요 정말 이뻐요 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ진짜 제가 키가작아서 쫌 크긴한거같앗는데 제가 큰 옷을 좋아해서 전진짜 추천합니다 정말 베스트 상품 안에 꼭. 듭니다 !! 후회없으실거에요 꼭 사세용 그냥 걸쳐입기에도 너무이쁘고 잠가서 입어도 이뻐용 ㅠㅠㅠㅠㅠㅠ❗️
ds357**|역시 프리사이즈가 하비한테는 치마통이 작네요ㅠㅠ 코트랑 입으면 진짜예쁠거같아요! 승마살도 가리고 ㅎㅎ 밴딩이라서 편하네요~  고민하다가 샀는데 하나쯤은 가지고있을만해요
