snbjy**|항상 골반사이즈 맞추면 허리가커서 수선했는데 이 옷은 딱 좋아요.라인도 너무 이쁘게 떨어지고 편해서 좋습니다.한개 더 주문하려구용
mskim99**|전부터 점트수트사고싶어서 여기저기찾아봤는데 가격도비싸고 맘에들지않아서 망설이던찰나에 고고싱 멜빵팬츠보고 가격도저렴하고 디자인이너무맘에들어서 망설임도없이 바로 주문했어요!!너무 편하고 긴바지라 더울까봐 살짝걱정했는데 시원한소재더라구요ㅎㅎ 짱 편하고 시원해요 괜히 걱정했네요 그리고 길이조절도되구 허리에 끈도있어서 라인잡아줘서 넘이뻐요ㅠㅠㅜㅜ고민중이라면 지금바로 사셔도될것같아용
chyy95**|너무 맘에 들어요~~안편할줄알았는데 편해요~~~나중에 이런 바지 많이 올려주세요~~~ㅋㅋㅋㅋㅋㅋ잘입겠습니다~~~ㅋㅋㅋㅋㅋ
dlqmsdlr**|이바지는 정말 사랑입니다.. 허벅지가 진짜. 많이 남아요 원래 m입는데 s구매해도 허벅지가 남앗을거같네요 저같은 허벅지 통통족 분들은 얼른얼른 구매하세요
dlqmsdlr**|생각보다 비침도 없고 이가격에 이정도 재질이면 진짜 재구매의사 장난아니에요 블랙도 같이 삿는데 파임이랑 재질이랑 가격이랑 세박자가 완벽하네요 날도 더워지고 하는데. 다른 색상으로. 몇개 해야겟어요
eatingpepp**|완전 제가 원하던 데일리 u넥이에요!! 목부분 파진 정도도 목걸이하면 딱 예쁠정도고, 면이 얇은데 또 완전 흐물거리는 느낌은 아니에요ㅎㅎ 다른 색도 여러개 사보려고 합니다~
eatingpepp**|재질 짱짱해서 여름내내 편하게 오래입을 수 있을 것 같아요~길이가 좀 길다는게 장점이자 단점?! 158cm기준으로 엉덩이 다 가려지네요~ 소매가 팔뚝을 다 덮어줘서 팔이 날씬해보이는 효과가 있어용!
hoyawoo**|생각보다 배기핏이어서 놀랐어요ㅋㅋ 그래도 소재가 마음에 들고 활동하기에 전혀 불편하지 않아요! 기본템이라 꼭 하나씩 소장하시면 데일리 룩으로 좋을거 같아용 저는 청자켓에 입으려고 샀어요!
hoyawoo**|장점은 완전 편해요 대신 다리를 잡아주는게 약해요ㅠ 좀 부해보이지만 살을 빼야죠.. 그래도 일자 스키니라는 이름답게 깔끔하게 떨어지는 핏이 예뻐요!
hoyawoo**|완전 예뻐요!ㅜㅠ 일단 칼배송에 놀랐구요 색 조합이 너무 깔끔하게 잘 되어 있는 거 같아요 생각보다 얇고 가벼워서 별로 덥지도 않고 소매 접어도 이쁘고 안접어도 이뻐요!
dltnwl52**|배송도 빠르고 기장도적당해서 만족합니다.리본은 앞으로 묶어도 이쁜것같아요ㅎㅎ지퍼가 살짝 뻑뻑한것같아요핏은 정말이쁩니다
froma**|예쁜 색생들이 많아서 색상 고민이 많았는데 소라색 선택하길 잘했다는 생각이 들어요!!ㅎㅎㅎ색상은 상세이미지와 똑같아요~소재도 시원해서 한 여름에도 걱정없이 입겠어요bb그리고 속옷이 비춰지지 않아서 더욱 만족합니다~소라색이어서 어느 옷이든 예쁘게 코디할 수 있을 것 같고 팔뚝살도 잘 가려줘서 넘 좋아요^^배송도 부분배송 해주시고 감사합니다~옷 예쁘게 잘 입을게요!(๑>_<)و
8037759**|뒤쪽 밴딩으로 되어있어있고 치마가 스판이 좋아서 편해요! 대신 저는 허리가 좀 컸어요 흘러내리진 않지만 딱 맞는느낌은 아니에요
8037759**|허리 작다고 했는데 저한텐 딱 맞아서 좋았어요!(겨울옷 넣어 입을땐 작을거같아요)입을때 엉덩이쪽이 살짝 끼는느낌있는데 입고나면 괜찮아요ㅎ 에이라인이라 핏 예쁘구요 어썸라벨 포인트 굿 :)
shes02**|뷔스티에 원피스인데 너무 달라붙지 않고 허리는 잡아줘서 좋아요~ 어깨끈도 두께가 있어서 탄탄하고 길이도 짧지 않고 적당해요~
qnfwkdsks**|하 진짜 너무 예뻐요!!처음에 배송오고 입으니까 뭔가 뚱뚱해보이고펑퍼짐해 보였는데 리본묶으니 완전 정돈되구날씬해보여요! 넥라인이 브이라서 목선도 예뻐보이고재질도 살짝 뻣뻣한 여름 블라우스 재질이라여름에도 입을수잇을것같아요!노란색도 사야겟어요ㅎㅎ
na92**|톤다운된 노랑이라 너무 마음에 들어요뒤에 리본은 입기전에 묶어놓고 입었어요ㅠ어깨끈이 왜자꾸 내려가는지는 모르겠지만 만족해요
na92**|앞부분이 살짝 짧은 감이 있긴한데 전체적으로 같은 길이가 아니고 언발이라서괜찮아요 색도 예쁘고 핏도 예쁘네요!!!!
402508891**|마감도 잘 안되어있고..밖에 못입고 다니겠어요 핏도 약간 어벙벙하고 소재도 너무 싼티나요 받고 좀 실망했어요.소재가 무슨 단체로 맞추는 반티 소재만도 못하네요
sujinr**|키 160. 사이즈 55.천도 시원 시원~~여름까지 완전 편하게 입겠네요역시 멜빵 바지는 기대를 저버리지 않네요강추입니다
na92**|색감과 패턴이 촌스럽지 않고 예뻐요길이도 적당하고 다만 가슴 부분이 많이 벌어져서살짝 꼬매서 입으려구요 주름도 예쁘게 잡혀있고만족합니다.
sujinr**|키 160. 사이즈 55.적당한 핏에 아주  잘 입고 있답니다.너무 박시할 줄 알았는데 생각보다 그리 크지도 않아서 편하게 입네요. 아주 좋아요
sujinr**|키 160  55사이즈 적당한 핏에 아주 편하게 입고 있답니다너무 박시할 줄 알았는데 생각보다 박시하지 않습니다아주 좋아요
402508891**|소재도 잘 구김 없고 너무 얇아서 비침이 있지도 않고 무난하게 데일리로 입기 좋은 티셔츠같아요ㅎㅎ지금 입기도 괜찮고 한여름에 입어도 좋을 것같아요
dbwls96**|제가 하나 샀었는데 오빠가 탐을 내더라구요!! 똑같은 아이보리로 하나 장만해줬어요! 남자가 들어도 그닥 이상하진 않았어요! 너무 편하고 이쁩니당 검은색도 하나 살까 생각중입니다!! 다들 이쁘다고 탐난다고 많이 말해서 뿌듯하네요ㅋㅋㅋ!!
dbwls96**|주문하자마자 바로왔어요!! 한번도 긴 치마 입어본적이 없어서 걱정했는데 너무 이쁘고 완전 짱 편합니다ㅠㅠㅠ 이거 입고나니 이제 긴치마만 찾고 있네요 그리고 가격대비 좋은거 같아요! 아쉬운(?)점은 오자마자 입고 나갔더니 속바지 대신 입은 흰바지에 살짝 거뭇거뭇하게 물들었더라구요! 입기전에 한번 빨고 입으시고 검은색 속바지 입으면 괜찮으실 것 같아요~
khr97**|색상이뻐요!! 근데 스몰도 저한테는 좀 큰거같은...플레어 핏으로 떨어지는데 살짝 달라붙길 바랬는데 ㅠㅠ엄청마르신분이 입으면 커보일거같긴해여ㅠ그래도 언발한느낌은 이쁘다요 ㅎㅎ
jisoen11**|저는 옐로우색상 선택했어요평소에 조금 여유있게 66입어요색상 너무 예쁘고 이거입었더니 다들 이쁘다고 여자여자 하대요ㅋㅋㅋㅋㅋㅋㅋ
nottrossa8**|다른 숍 이런 나시도 있는데... 좀 비싸고 안 샀어요 ㅠ고고싱 믿고 이 나시 딱 보면 샀거든요~ 좀 넉넉한데 디자인 이뻐서 마음에 들어요~
wltn09**|코발트블루샀는데 제가 낙낙한걸 좋아하는데 딱 낙낙하고 너무이뻐영 무지라서 아무때나 편안하게 입을수있을꺼같애요!
wltn09**|같이산것들중에 젤맘에들었어요ㅠㅠ 노란색이 딱 이쁜색이라 입업느니까 더이쁘고 앞에 문구도 딱 포인트되는거같고요 잘입을께요
wltn09**|가격대비 질도좋고 흰색샀는데 무난하게 많이 입을수있을꺼같애요! 핏도 딱 루즈핏이라서 낙낙하게 이뻐영ㅎㅎㅎ 다른색도하나더사고싶네요
wltn09**|일단 안에 속바지가있어서 편한느낌이예요 치마도 그냥 까만색이 무난해서 아무때나 다입을수있을꺼같애용 치마가넘나이쁘네요ㅜㅜ
nottrossa8**|진짜 이뻐요!!디자인 딱 보면 제 사고 싶은 오프숄더.. 깨끗하고 예뻐서 샀어요! 마음에 완전 들어요~~ 재료 좀 얇은데 입어보면 시원하고 편해서 좋아요 ❤️
wltn09**|파랑색이 딱 이쁘게 나왔어요!!! 저한테 조금 안어울린다생각했는데 이런색을 안입어봐서 그런거같네용 자주입어서 적응해야겠어요
wltn09**|살이쪄서 그런지 일자가아니라 뭔가 스키니 느낌이지만 이뻐영ㅎㅎ색깔도 딱 맘에들고 길이도 발목위까지 적당합니다ㅎㅎ
wltn09**|흰색 샀는데 앞에 문구도이쁘고 핏도적당하고 가격대비만족합니당ㅎㅎㅎ배송도 빨랏구요 또사고싶네요 꼭 사시길바래요ㅠㅜ
wltn09**|흰색 샀는데 앞에 문구도이쁘고 핏도적당하고 가격대비만족합니당ㅎㅎㅎ배송도 빨랏구요 또사고싶네요 꼭 사시길바래요ㅠㅜ
wltn09**|뭔가 생각한 색보다 찐한느낌? 이여서 조금 걱정했는데 입어보니까 너무이뻐서 그런생각사라졌어요 핏도낙낙하고 너무예뻐영
hyeji98**|배송이 하루만에 와서 너무좋았어용╰(*´︶`*)╯♡ 그리고 무지 편해요 !!옷 재질도 나쁘지않고 핏도이뻐서 자주입늘거같아용
hyeji98**|배송이 무지 빨랐어요!! 다른 바지는 다 s입어서 에스로 샀는데 골반쪽이 쫌 딱맞아서 불편한거빼곤 다 좋아용 길이감도 핏도 이뻐용
hyeji98**|일단 배송이 하루만에와서 되게 좋았어요!! 목 뒤에 까끌까끌한감이 있긴한데 그거빼고는 다 좋고 이뻐용 데일리로 입기 좋을거같아요
tnsgo55**|내가 키가 좀 작아서 기장은 솔직히 생각했던거보다는 조금 길었는데 그래도 확실히 입으니깐 너무 편한거 같아요 고무라서 잘늘어나고 두께도 딱 좋은거 같아요.외출할때도 입기좋고 집에서도 입기좋고 진짜 편하고 가격에 비해서 너무 괜찮은거 같아요.
seoyoungc1**|흐악!!!!!!! 이거 가격은 비싸긴 한데 너무 이뻐요ㅠㅠㅠㅠㅠㅠㅠㅠ 색깔도 아이보리에다가 레이스도 너무 이쁘고,,,ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 여름에 하얀 단화랑 신어도 이쁠꺼 같아요ㅜㅜㅜㅜㅜ 고고싱 사랑해여,,,
seoyoungc1**|와,,,, 이거 대박이에요,,, 진짜 질이랑 가격이랑 미친거 아니에요????? 저는 처음에 벨트가 이상할꺼 같아서 살지 고민했는데,, 와보니깐 진짜 너무 예쁘고 질도 너무 좋고ㅜㅜㅜㅜ 고고싱 사랑해요ㅜㅜ흐어구ㅜㅜㅜ
suhyun09**|여름되서 휜색 테니스스커트입고싶었서 하나 샀는데 좋은것같아요~ 흰색이여서 좀 비치고 다른테니스스커트보다 좀 얇은감이있는것같아용 근데 속바지입고있으변 괜찮아요!!
hipxlar**|좋아요
wnthdbs87**|옷 진짜 너무너무 이쁜데...집에서 급한대로 옷만보고 나시는 안봤는데 오늘 옷 빨려고 보니까 나시끈 박음질 잘못되어있어요.. 한쪽은 한바퀴 한쪽은 한바퀴반 꼬여서 박음질 되어있네요;;이미 빨아버린데다가 배송받은지도 일주일 넘어서 그냥 티만입고 나시는 집에있는거 입을려구요..고고싱 늘 옷 좋았는데 ㅠㅜ 불량 처음받아보네요.. 받고나서 꼼꼼히 안 본 제 잘못이지만 그래도 씁쓸하네요.. 그리고 실밥정리도 좀 하고 입으셔야해요나중에 입고나가서 전신샷 찍어서 포토후기 올릴려고했는데 ㅠ 이걸로 올리네요..옷은 정말이뻐요!
yipe**|소재가 얇아서 더울때입기 좋아요! 편하게 예쁘게 입고싶을때 입고있습니다ㅎㅎ 그리고 로브가 품이 좀 좁게 나온것같아 66이상분들은 불편하실것같아요
jungar**|후기가 좀 늦긴 햇지만.. 사고 벌써 3번이나 입엇어요!!!지금 품절이던데 ㅠㅠ 이거 꼭 사세요 ㅠㅜ얇아서 여름에 입기도 좋고 아일렛으로 되잇어서 여성스러우면서도 귀여워요!!
jungar**|진짜... 여자여자한 신발...ㅋㅋㅋㅋ에나멜제질이라 엄청 빤짝반짝하거 끈이 넘나 이뻐욤키높이도 높아서 좋네요!!
jungar**|키 152정도 되는데 안에 핫팬츠 입고 입으면 아주 살짝 보일정도..? 길이는 좀 많이 짧더라구여 ㅠㅠ 그래도 평소에 간단하게 코디하기는 무난하니 괜찮은거같아요!!
althdbst**|소재가시원해요 막입기에 괜찮은거같아요 많이비치지도 않고 여기서 같이입을 쪼기랑 입었는데 굉장히이뻐요 다른색도사고싶네요
althdbst**|기장은 쫌 짧아요 그래도 이쁜거같아요 배송도 빨랐고 검정치마라서 위에받쳐입기에도 괜찮은거같아요 이쁘게입을게요^^
althdbst**|고고싱에서 옷은 자주사는데 제가샀던옷중에서 이블라우스가 가장 여성스럽게 색도이쁜거같아요ㅜ진하지도 안고 연한색이라서 입기에도 이쁘고 받쳐입기도 좋은거같아요
althdbst**|이런걸입어본적이 없어서 이상할가봐 걱정많이했는데이쁘네요 기다린보람이있는거같아요 뒤에 리본이달려있어서 주위에서도 귀엽다고했어요~~!흰색으로 또 구매하고 싶어요
veron26**|생각보다 많이 얇지않아요! 그리고 이쁘네요!! 검은색티인데 포인트로저렇게글씨있는게 좋은거같아요!!자주입을거같아요!
veron26**|심플하고 자주입기좋을거같아서 샀어요! 무난해서 어디에 입어도 이쁜거 같네요! 기장이 길어서좋은거같아요!! 자주애용할게요!!
veron26**|재질이 제가생각했던건 아니지만 그래도 이쁘네요! 기장도많이 짧은편도아니고 다행이 잘 맞네요! 잘입을게요!! 이쁜옷많이파세요
veron26**|허벅지가통통한편인데 원래다리보다 얇게 보이게되는 효과가있어요!너무좋네요! 많이 짧지도않고 L사이즈샀는데 살짝 크지만 편하네요!
veron26**|생각보다 커요! 원래L사이즈로 사는데 크다고해서 M으로샀는데 딱맞네요! 허리사이즈잘보고사세요 옷은물론이쁘고편해요!
veron26**|좋아요! 생각보다 진한레드색상은아니지만 편하게입기좋은거같아요! 자주자주 입을예정입니다! 앞으로도애용할게요!
jeong53**|키가 158인데 밑에 반바지입고 하의실종으로 입어도 딱히 야하진않아요 ㅎㅎ 가만히 딱 서면 허벅지까지 옵니당 바지안에 넣어입어도되서 추천핮니당
gksfla6**|타이트감도 적당하고 무엇보다 여름에 입기가 너무 편안하고 좋네요~ 저렴한금액에 너무 잘산것 같아요~ 너무너무 만족합니다~ 앞으로도 이런 상품 많이 보였으면 좋겠어요~ 번창하세요
gksfla6**|150대를 위한 바지기장 찾기가 어려운데 역시 고고싱은 달라요~ 너무 만족하고 좋습니다. 수선도 안해도되고ㅎㅎ 저렴한금액에 너무 잘산것 같아요~ 너무너무 만족합니다~ 앞으로도 이런 상품 많이 보였으면 좋겠어요~ 번창하세요
gksfla6**|타이트감도 적당하고 무엇보다 여름에 입기가 너무 편안하고 좋네요~ 저렴한금액에 너무 잘산것 같아요~ 너무너무 만족합니다~ 앞으로도 이런 상품 많이 보였으면 좋겠어요~ 번창하세요
jeong53**|프리사이즈라서 편하게 입으려고 구입했어요! 보드타러나갈때 추리닝에 편하게입어도되고 하이웨스트 반바지랑 입어도 예쁘더라고요 ㅎㅎ 추천합니당
gksfla6**|타이트감도 적당하고 싼금액에 너무 잘산것 같아요~ 너무너무 만족합니다~ 앞으로도 이런 상품 많이 보였으면 좋겠어요~ 번창하세요
