snbjy**|항상 골반사이즈 맞추면 허리가커서 수선했는데 이 옷은 딱 좋아요.라인도 너무 이쁘게 떨어지고 편해서 좋습니다.한개 더 주문하려구용
jinee12**|마른편이라 그런지 보통 S입으면 맞는데 이건 조금큰거같아요 핏은 A라인 핏처럼 나오고 다리는 얇아보여서 좋네요ㅎㅎ 다음에 연청으로 하나더사려고요~~
duswn6**|진짜 짱 이뻐요 ♥︎ ♥︎ 이런가격에 퀄리티도 높고 어깨선 이쁘게 보여주는 옷인것같아요 ㅎㅎ러블리하구 흰반바지랑 코디하니까넘 이뿌네요 ㅎㅎ
jhy12**|제가 허벅지가 쫌있고 허리는 얇은편이라..해야하나?암튼 그런데 허리 잘맞고 골반쪽..엉덩이랑 허벅지 딱 잘 붙네요 편하게 입고싶을때말고 데이트할때 입어야겠어요 제가 키가 작아서 그런지 길이가 짧다 이런건 잘 모르겠네요 ㅎㅎ 적당한거같아요 위에는 이번에 같이 산 고고싱 오프숄더 블라우스에욤 같이 매치하니까 색조합은 좋네용 ㅎㅎ
jhy12**|ㅎㅎ 생각보다 많이 파였어요 제가 승모근때문에 원래 오프숄더 사면안되지만..그래도 막이상하지는 않아요 생각보다 근데 많이  파인느낌인거 같긴해요 손목쪽이나 실밥처리는 안되어잇긴한데 괜찮습니다
dtdrd**|받아보고 이제 입는데요 진짜 미쳤네요 너무 편해요ㅠㅠㅠ 기대안하고 급하게 산건데 너무 만족스러워요ㅠㅠ 시원하고 얇고 미끄러내려가지도 올라가지도 않아서 몇개 더 살려구요ㅠㅠㅠ 짱입니다 후회없어요
gaeul98**|무난하고 전형적으로 예쁜 소라색이예여시원시원하고 앞에파인부분이 예쁘게 파여서 막입어도 이뻐요코디하기에 딱 좋습니당
gaeul98**|너무싼티나고 코디하기 힘든 핑크아니고 블랙이나 화이트에 같이 코디해서 입으면 이쁜핑크예오 생각보다이뻐서 놀랏습니더 다른색상추가구매할생각이예오
gaeul98**|다른쇼핑몰에서 바지를 실패했는데 여기바지는 너무이쁘고 길이도막 너무안이쁘게짧지도않고 이뻐요 다른색상들 추가로 더 구매할생각이예오
gaeul98**|사진을 보고 엄청이쁠줄 알았는데생각보다 통이많이크고 얇아요 화이트색상이라서 비칠까봐 걱정되고 어디앉을때 속옷볼까봐 좀 불안하지만그래도 엄청편하고 시원해요 진짜로....
wldms72**|주문하자마자 품절되서 좀 늦게 받앗지만 입자마자 너무 이뻐서 괜찮았어요 기다린보람이 잇어요 여성스럽고 ㅠㅠ화사해요 ㅎㅎ
