p9612**|업데이트 되자마자 바로 구매 했는데 후기를 이제 씁니다ㅠㅠ보자마자 이뻐서 고민 없이 바로 구매 한 제품이에요배송도 너무 빨랐고 좋았어요 ㅎㅎ옷 재질 상 구김 많이 가는 건 어쩔 수 없나봐요.. 배송 왔을 때도 구김이 많았어요 너무 짧지도 않고 특히 가슴 부분 벌어지는건 아닐 까 걱정 많이 했는데 걱정 할 필요 없이 벌어지지 않도록 되 있어서 만족 합니다 완전 여성스러워요 ㅎㅎ
han24**|로브로 입으려고 샀는데 아직 로브로 입어보진 않았구요원피스로 입었는데 진짜 이쁨!!키가 작아서 길이는 발목 좀 위까지 오구요팔뚝부잔데 안끼는게 신기 ㅋㅋㅋㅋㅋ대신 가슴이 진짜 작게나왓나봐요따아악 맞아요 단추잠그면그리고 다른 분들 후기처럼 안감있어서 안비치는대신좀 더워여
mjbm**|어깨뽕이 있는지 몰랐어요... 얼른 빼야겠어요. 봄가을에 입을것같아요. 색깔이 모니터로 보던거랑 똑같고 예뻐요.
han24**|키작아서 롱원피스 사고 싶어도 발목까지 올것 같아서 못사고 잇었는데끈 조절할 수 있다고 하고 가격도 싸서 한번 사봤는데배송 진짜빠르게 다음날엔가 온거 같구요입고나갔는데 두께도 적당해서 좋았어요특히 끈길이 조절할 수 잇어서제키에도 종아리 반절정도 가리는 길이로 입을 수 있어서 더 좋아요
mjbm**|이너로 나시 입고 입으니 좋네요. 친구들이 수박같다고 했지만 저는 마음에 들어요. 청바지랑 입어도 좋고 비치웨어로도 좋을것같아요
han24**|이거 생각보다 더 좋아요배송은 진짜 빠르게 바로 다음날 와서 더 좋았구요5천원 아닌거 같아요원래 여러 색 사려다가 별로일까봐노란색만 샀는데 색도 이쁘고더운재질도 아니에요그래서 다른 색 더 사려구요비침도 전혀없고 완전 좋음길이는 길어요
mjbm**|그냥 그럭저럭?입니다. 핏이 어정쩡하게 헐렁해서 그저그래요. 쫀쫀한지는 모르겠는데 참 잘 늘어나고 촉감이 좋네요.
hoho0**|기대하고 샀는데 후기를 좀 더 꼼꼼히 볼 것을요 ㅠ바지 25~ 26 입는데 밥 먹고 못 입어요 ㅋㅋㅋㅋ 이 바지 입는데 너무 당황했어요 ㅋㅋ  교환하려니까 귀찮아서 살을 좀 빼서 입어 볼게요 ㅠㅠ 사이즈 신중을 기해서 사세요 아 궁금한 게 배바지인가요? 골반에서는 안 잠겨요 ㅋㅋㅋ 제가 골반이 좀 있어서요 이 바지 제 인생에  충격을 준 바지에요 ㅠㅠ ㅋㅋㅋ 어쨌든 옷은 마음에 들어요 쉬원한 재질이고 좀 얇아서 없어 보일 수 있는데 얘는 그런 바지인 거 알고 사서 괜찮아요 모두들 즐거운 쇼핑 하시길 ㅋㅋㅋ (너무 당황하고 웃겨서 ㅋㅋㅋ 가 많아요 이해해주세요)
hoho0**|색상은 사진 보다 조금 어두워요 파인 곳은 적당히 파여서 시원해 보여요 쫄티라서 길이 짧아요 ㅎㅎ 재질은 부들부들 하고 옷 입었을때 촥 감기면서 쫄리지는 않고 마음에 들어요 핑크 나쁘지 않아요~
wltn51**|생각보다많이얇았구.화려한톤의속옷은튜브탑을입어도그래두비치는것같아요ㅜㅜ검은색속옷입을때착용하고흰옷을입는건그나마괜찮은거같아요ㅎㅎ재질은부드럽고밴딩?박음질은불안하지만,그래두상체를잘잡아줘서속옷을끈없이입고그위에입어도잘잡아줄거같아요^^이가격에그정도면괜찮아용!
hoho0**|이거 기대 안 하고 샀는데 엄청 좋아요~ 고민 말고 일단 사세요 후회 안 해요 전 한 개만 사서 후회해요 ㅎㅎ 재질은 살짝 까실 해요 재질 불편하지 않아요 막 입기 좋고 그냥 평상복으로도 좋아요 바지 25~ 26 입는데 줄 없어도 고무줄 바지라 내려 가지 않아요 강추 해요~
history**|겨울에 목폴라 입을 때 심심할까봐 하나 사보았는데 진짜 이쁜 거 같아요 목걸이 줄도 막 약하지 않아서 금방 끊길 거 같지도 않구요 가격대비 진짜 맘에 들어요
hoho0**|이쁘긴 진짜 이뻐요~>_<  사진 그대로 색이에요 저한테는 팔 길이가 한번 접어야 될 정도로 길고 팔 통이 넓어요 파인 곳은 살짝만 꿰매면 될 것 같아요 대체적으로 이쁜데 55~마른 66 입으면 샤랄라 하면서 날씬해 보일 것 같아요 저에겐 어정쩡해서 아쉬워요~ ㅠㅠ
