qwe456wls**|팔 길이가 생각보다 좀 기네요 제 팔이 짧은건지....ㅎ그래도 아주 예뻐요!!맘에듭니다 ㅎㅎㅎㅎ
yju42**|스윗초코같이~달콩한코코아색이네요~순하리헤짐바지와~코디해서입으니깐~좋아요
yju42**|울예뽀가선택한옷~부드러운색감그리고부들거리는느낌~면이좋네요~흰색바지와입으면예쁠것같아요~^^
jej21**|오 이거는 모델핏이랑 진짜 똑같고요 이뻐요 근데 이 옷에 단점은 다른분들도 똑같이 생각하신건데 이거 벗는게 너무힘들어요..  팔을 넣어서 빼며ᆞㄴ 다른쪽으로 빼져야되는데 여튼 벗는게 힘들어서 좀 난감해요.. 이거 한번입엇다가 벗다가 땀나서 힘들었어요 옆구리부분 박음질을 조금 여유있게 남겨두시면 좀더좋을거같아요ㅜ그래도 옷은 이쁘구 흰티에 입으니까 데일리룩으로 좋아여!!
yju42**|화면으로본거와조금달라보여요~조금갸우뚱고민하다가~입고계속보다보니~괜찮아보여요~별점5점만족도라면~3.8점♥
siyun1**|기대안하고 받았는데 완전 맘에들어요 얇지도않고 흰치마랑입으면 이쁠듯ㅠㅠ♡
jej21**|오오 흰티인데도 중간에 블라썸 글이 은근 있어보이구요 넉넉해서 좋구요 되게 얇은건 아닌건아니지만 지금철엔 하나만 입어도될거같아요 근데 새옷냄새가 너무나서 세탁한번하고 입어야될거같아요ㅠㅠ
jej21**|검정티라서 무난하고 프린팅된것도 눈에 막띄는게 아니라서 좋구요 핫팬츠랑 어울리는 티라서 좋아요!!
yju42**|이티는엄마가입을려고샀어요/엄마가회색을좋아하나봐요/수납장티셔츠공간에/회색이보여서요/
yju42**|울딸♥~요번에폭풍쇼핑했네요~티가많은데~또티를샀네요~안입는티는제가입어야죠~ㅠ_ㅠ ~깔끔한로그에심플해요
jej21**|낭낭하겠거니해서 샀는데 역시 모델핏이랑은 조금 차이가 있는거같네요.. 그래도 꽉 끼는 소재가 아니라서 다행이에요 조금은 낭낭해서 바람은 통하니 지금 숏팬츠랑 매치해서 입어도 이쁠거같아요!!
jej21**|여름인데 반팔티가 없어서 이곳저곳 전전하다가 역시 고고싱이지 하면서 들어와 이거저거 장바구니에 담았었는데 무지 검정도 있으면 핫팬츠랑 입어도 이쁠거같아 바로 결재고고싱했습니다ㅎㅎ 사이즈도넉넉하고 브이넥이라고해서 많이 파인건아니라서 괜찮아요!
yju42**|바지헤짐이예쁩니다~ 찟어진부분이멋스러워요~학원간다고교복벗고~이바지입고학원으로고고싱했어요~저도몇번뺏아입을까해요~ㅋㅋ
yju42**|검정으로사고싶었는데없어요T-T ~아이보리는몇번만신으면때타고~그래서그레이로~신발보자마자예쁘다라고~딸이말했어요~주문한옷들과같이착용했는데~다잘어울려요~그래서기분이넘좋네요
qwert7**|깔끔한 긴팔티 사고 싶어서 주문했는데요!흰색으로 샀어요근데 흰색이여서 그런지...생각보다 너무 얇아서 안이 너무 너무 잘 비치드라구요..원래 시스루로 입는건데 제가 잘못 산건지...이럴 줄 알앗음 챠콜색으로 살걸 후회 중이에요
sally9**|L지 역시 크네요 ㅠ...M다시 사러가요
yju42**|울예뽀♥~딸에게예쁠것같아찜했다가고른옷입니다~티는맞는데~스커튼는안들어가요~허벅지에서걸렸어요~딸과같이그것때문에웃겨서빵터졌어요~치마좀더크게만들어주세요~정말작아요~치마는선물로~다른친구한테줘야할듯해요~옷은정말예뽀요~♥
qwert7**|딱 보고 이뻐서 샀는데 이뻐요!!!!제가 단가라티중에 이렇게 단가라가 큰게 없었는데 사서 입어보니까 이쁘네요!!제가 키가 작긴 한데 그래도 생각보다 길이가 마니 길어서 순간 당황하긴 했는데 그래도 핏이랑 이뻐서 진짜 진짜 만족해요~~ 이뻐요!!
