kjo99**|가격대비 너무 이뻐요!안에 긴 가방끈도 있어서 놀랐습니다생각보다 작긴한데 귀엽네요!!
sally0203**|고고싱에서 처음 시켜봤는데 저한텐 조오금 짧긴 짧았는데 예뻤어요 !! 피마 가 조금 접히는 감이 없지 않아 있는데 핏이나 디자인이나 착용감 생각해보면 고정돈 아무것도 아닌 거 같아요ㅎ 진짜진짜 예쁘고 기본으로 데려가야하는 치마에요 !! 그리고 얇아서 겨울에 입기엔 추울 수도 있지만 예뻐서 입어요 ~!
hhw8**|남방이 필요했는데 사이즈도 박시하고 딱 찾던 스타일이여서 바로 구매했어요~~너무 맘에 들어서 잘 산것같아요ㅎㅎ이쁘게 입고 다닐께요~~
hhw8**|후드집업이 필요해서 둘러보던 중 우연히 구입하게 되었는데 사이즈도 박시하고 딱 제가 찾던 스타일이여서 너무 좋았어요~~이쁘게 입고 다닐께요ㅎㅎㅎ
hhw8**|치마를 사려고 여러군데 돌아보던중 눈에 들어온 치마였어요!!앞으로 이쁘게 입고 다닐께요~~가격도 너무 좋고 맘에 들어요ㅎㅎ
tnwjd13**|옷 너무이뻐보여서 사게됬네용 ㅎㅎ배송도 빠르게 잘 받았구요사진 그대로 역시 이뻐요! 만족합니당
qrf10**|이거진짜존편함 퇴근하고 화장싹지우고 레깅스딱신고 피씨방으로 다시 출근하면 이만큼 편한게없음 너무편하고 기분도좋고 게임도 잘풀리고 아무튼 최고임
qrf10**|여리여리해보이고 진짜 존예입니다 조금 생각보단많이파여있긴한데 여기에 초커딱!껴주면 최고임 크~ 이쁘니까 두개사세요 브라운으로 한개더살꺼에요
qrf10**|하 이거 진짜 짱이뻐요 근데 내목에서 이쁘게 못만지겠어서 발목에차고 조절했어욬ㅋㅋㅋ 이쁘게 묶는게어려워서그렇지 짱이쁩니다 최고강추 이리뷰보면 이거무조건사야됨
sjy01**|너무 이뿨용 키작은데 이렇게 길이가 잘 맞다니 기장도 딱 적당하고 데이트룩에 강추하고 싶어용
sj061**|치마가 생각보다 퍼져서 펑퍼짐하기는한데 그래도 가격대비 잘 샀네요~ 검정색니트랑 같이 입으니까 너무 예뻐요ㅎㅎㅎㅎ 근데 벨트가 고정?하는게 없어서 끈이 펄렁이네요ㅜㅜㅜㅜ
qrf10**|초커존예 지나가는여자들초커낀거만 이뻐서 쳐다만보다가 처음껴보는디 짱이뻐요 가끔씩 밥많이밀어넣으면 쫄리는데 그럴때마다 조금씩 느슨하게 해주면 짱좋아요
qrf10**|진짜진짜진짜너무이쁨 귀걸이이쁘단소리 짱마니들었어요. 길고반짝이고달랑거리는거좋아하는데 딱 제스타일에요 놀러갈때마다이거만낌 감사합니당 8ㅅ8
sjy01**|고급스러움 그 자체 포인트로 똭 하면 진짜 아름다운 느낌이랄까 예뻐용 너무너무 샤랄라 꼭 사세요
sj061**|팔길이도 길고 사이즈도 넉넉해서 좋네요! 다른옷에 이너로 입기도 좋고 무난하게 잘 입을꺼 같아요~~~~~~
qrf10**|진짜레알존편함ㅋㅋㅋㅆㅋㄱㄱㅋㄱㅋ 내궁댕이 부드럽게 잘감싸줍니다 자국1도없고 쫄리는거 1도없읍니다. 최고
sj061**|일단 색깔이 진짜진짜 이쁘네요! 사진이랑 색깔 비슷한것 같고 팔부분이 너무나 여성스러워서 만족해요~
sjy01**|이거이거 너무너무 예쁩니다!! 색상이 핑크베이지였는데 느낌도 바스락?한??암튼 너무 좋아요 주머니에 똑딱이 맘에 들어요!! 따뜻하고 포근하고 아방하고 이건 진짜 .....굿
qrf10**|코트진짜진짜 너무예뻐요ㅜㅜ 와인살려다가 입고기다리기귀찮아서 블랙샀는데 진짜 무난하게 잘입고있어요!! 길이도 제가원하던길이라서 와인으로 하나더살려구여^3^ 진짜짱이쁩니당
sj061**|흰색니트 샀는데 여리여리하고 예쁘네요!ㅎㅎㅎㅎㅎㅎㅎㅎㅎ목부분이 예뻐서 더 여성스럽고 예뻐여~
sjy01**|가격대비 이건 너무 좋습니다 블랙이라서 심플하게 아무데나 입어도 이쁠 것 같아요!!!!!!! 살짝 아쉬운점은 첨에 받았때 냄새가 났는데 밖에 두니깐 금방 괜찮아 졌어용!
sj061**|검정색 니트가 필요해서 둘러보다가 저렴하고 예쁜게 있어서 구매하게 되었습니당 니트는 도톰해서 입고나가면 따뜻할꺼같네요ㅎㅎㅎㅎ니트길이가 짧다는 평이 있어서 고민했었는데 크롭티 같기는 하지만 치마랑 입으면 이쁠꺼 같네요~~~~
sjy01**|양말 퀄리티 이래도 되나요?? 블랙 색상이라 블랙로퍼에 잘어울릴 것같아용 예쁜 양말 감사해용!!!!
132000142**|배송도 빠르고 옷도 오자마자 착용해봤는데 너무 이쁘고 만족스러워요ㅠㅠ 다음번에는 다른색상도 구매해보려구요!! 완전 마음에 들어요!!>_<
rlatmdgml3**|그냥 이뻐서 일단 샀는데 허벅지랑 엉덩이 이족부분이 들어가지않아서 입어보지를 못했어요ㅠㅠㅠㅠ
rlatmdgml3**|흡... 프리사이즈긴 한데.. 저한테는 조금 타이트해요!! 골반쪽이 조금 타이트해요!! 여기부분만 넘기면 허리는 그래도 잠겨요 부들부들해서 너무 좋아요~
rlatmdgml3**|위에까지올라와서 다리가 길어보이고 좋아요!! 허리가 잘록하게 달어간게아니고 좀 일자느낌이여서 상의를 안에 넣어입었을 때 허리라인이 있어보이지는 않아요!! 그래도 편해서 좋아요~
zxc58**|저이거 2번째 재구입한건데 처음산건 지파가 터져버러서...ㅎㅎ쨋던 이치마아무옷에나입어도 다잘어울리고 이뻐요 안에 속바지?? 같은게잇어서더좋아옹!!!!❤️
zxc58**|핏도이쁘고 착용감도 괜찮앗어요!!!!!!!슬랙스는처음사서 모가좋은건지 모르겟지만 이슬랙스 사길잘한것같네요!!
zxc58**|이거 진짜 제가 사진보고 딱 너무이쁘다해서 바로삿는데 택배오고뜯어서봣는데....역사나 너무 이뻐요 ㅠㅠㅠㅠㅠ진짜 ㅠㅠ너무이뻐요 머라말할지도모르겟고...그냥 이뻐요 그냥 바로 사세요’ㅜㅜ❤️
vldzmgp**|치마는 사고싶은데 이쁜건 없고 고민하다가 페북에서 이뻐서 바보 고고싱와서 겟>< 치마 배달오기전까지 너무 기대했는데 막상오니깐 기대했던것보단 흠..중간.. 그래도 이쁨ㅎㅎ
zxc58**|진짜 너무 이쁜데 택배뜯고 옷 확인하니깐 실이 삐져나온데가잇더라구요 ㅠㅠ그거 말고는 괜찮앗어여!!
vldzmgp**|맨투맨이나 후드티안에 입으면 따뜻할것같아서 샀는디 완전 조음ㅠㅠ 빨리살껄 후회중ㅠㅠ 이거 하나입고 코트나 자켓걸쳐서 입으면 더 예쁨ㅠ 고고싱짱
zxc58**|핏도 너무이쁘고 색깔도 어느 옷에나 다잘어울려서 너무이뻐요 ㅠㅠㅠㅠㅠㅠㅠ진짜 이쁘단소리밖에안나오네여 그리고 제일좋앗던건 가벼워서너무좋앗어요!!!!!!지금날씨에입어도 괜찮고 느무느무 이쁘네용 ㅠㅠ 고고싱짱!!❤️❤️ 더 많이 애용할게용 감사합니당
