zxc99**|처음엔 저렴해서 질이 안좋을 거라고 생각했는데 빨아도 목도 안늘어나고 가성비 좋습니당 ㅎㅎㅎㅎ
kkls2010**|전체적인 품은 넉넉해서 좋구요 길이가 치골인가 와서 ㅋㅋㅋ 와 이런핏 찾고있었는데 좋아요 싸게팔아주셔서 감사해용 재질도 좋아요
qpfl02**|생각보다 많이 비치지만 이쁜 것 같아요~~ 하늘하늘하고 기장도 딱 좋은 것 같습니다 ㅎㅎㅎ가격대비 굿!
kkls2010**|완전 넉넉해서 후드티르 입으면 그 아래까지 보임 허벅지 반은 덮는거같아요 ㅋㅋ 근데 재질이 좋아서 놀람 핵맘에들어요
kkls2010**|이런 품? 너무 좋아여 개취저격! 제맘에 드는 색상이 있었다면 더 사고싶은 생각이 들정도로~!
tgb55**|두께는 봄,여름 입기 좋은데 너무파여있어요 몇번 못입을거같아요
kkls2010**|시크한 그레이 색감으로 너무 좋구요 지금 날씨보단 조금더 따땃해질때 면티하나에 걸치면 완전 굿인 옷이에요! 대만족!
tgb55**|사이즈는 몸이랑 키에 딱맞구 색깔도 이뻐요! 근데 제품이 너무 구겨져왔어요 배송도 빠르고 좋아요!
jyj004**|첨에입었을땐 환불해야될정도로 작게느껴졌는데 입다보니까 엄청 편하고 따뜻해서 좋아요 색깔은 배달왔을때부터 맘에들었구요! 바지잘산것같아서만족해요!!!잘입고다닐것같아요 감사해용!^!^!!
yeoooon**|이제품은 넥라인에있는 레이스가 잘 안서서 안보일때가 있는거 빼고는 괜찮구용 근데 생각보다 좀 사이즈가 컸어요 ㅜㅜ!제가 절대 마른편이 아니구 평소에 66사이즈입는데 사이즈가 좀 있더라구용 ㅜㅜ근데 괜찮아요 예뻐요!제 봄봄플라워 원피스는 결국 받지 못했네요..ㅜㅜ 불량 상품 기준을 좀 써줬으면 좋겠어요~ 허리 부분 찢겨져있는건 불량아니구 본인이 수선해서 입어야된다구 어디 써주셨으면 좋겠네요 ㅜㅜ 옷은 예뻤는데 옷도 못받구 배송비도 아깝구요 ㅜ~
yeoooon**|이제품은 예뻐요~소라색 맨투맨이랑 보라색 맨투맨 매치해서 입으니까 예쁘구요 하늘하늘하니 봄이랑 어울리구 시원하네용근데 제 봄봄플라워 원피스는 결국 받지 못했네요..배송비만 뺏기구...ㅜㅜ 불량 상품 기준을 좀 써줬으면 좋겠어요~ 허리 부분 찢겨져있는건 불량아니구 본인이 수선해서 입어야된다구 어디 써주셨으면 좋겠네요 ㅜㅜ 옷은 예뻤는데 옷도 못받구 배송비도 아깝구요 ㅜ~
yeoooon**|이제품은 예쁜데 제 봄봄플라워 원피스는 결국 받지 못했네요..배송비만 뺏기구...ㅜㅜ 불량 상품 기준을 좀 써줬으면 좋겠어요~ 허리 부분 찢겨져있는건 불량아니구 본인이 수선해서 입어야된다구 어디 써주셨으면 좋겠네요 ㅜㅜ 옷은 예뻤는데 옷도 못받구 배송비도 아깝구요 ㅜ~
453968866**|노랑이랑 빨강이랑 엄청 고민하다가 빨강색이 더 예뻐서 구입하였습니다. 사고나니까 노랑이도 갖고 싶어요ㅠㅠ일단 끈을 두개 주니까 너무 마음에 들어요!! 저는 일반 끈 보다 같이 주신 끈이 더 마음에 들어서 구입하였습니다.조절하는 부분도 똑딱이로 되어있어서 굉장히 마음에 듭니다.색상도 원색으로 나와있어서 쨍해요!! 놀러 갈때 메고 가렵니다!! 가방 자체는 무겁지는 않아요 하지만 각이 제대로 잡힌 느낌이 납니다. 청바지나 캐주얼에 입기 좋을 것 같아요~~잘쓸께요!!
453968866**|봉이랑 여름에 입을 가벼운 티 찾던 중에 찾았어요~~!! 완전 득템 했어요!! 제가 어깨깡패라서 완전 오픈숄더는 부담스러운데 이 제품은 은.근.한 오픈숄더라서 어깨깡패이신분들이 잘 입을 수 있는 제품입니다아아~~!! 팔 쪽이 약간 길어서 불편할 까 생각했는데 입다 보니까 별로 불편한 부분도 없고 오히려 더 오버핏으로 입을 수 있는 제품이라서 굉장히 마음에 듭니다.여리여리하게 보이기도 하고 무엇보다 되게 저렴하니까 사세용!!
453968866**|가디건이나 티 입을 때 목 부분이 너무 심심해보여서 초커 하나 구입하고 싶었는데 가격도 너무 저렵하고 좋아서 구입했어요!!제가 목 조이는 느낌을 너무 싫어해서 뒤에 연결해서 하는거는 불편해서 별로 안좋아하는데 이거는 조이는 느낌없이 본인이 하고싶은 길이대로 조절할 수 있는 제품이라서 짱짱 만족합니다.끝부분도 잡아주어서 마무리감도 좋아요 추천합니당!!!!흥해라 흥 고고싱
dkdyd12**|가방크기가 적당하고 크로스끈도 있고 파우치도 있어서 다용도로 쓰기 좋아요 ㅎㅎ 다른색상으로도 또 구매하고 싶네요
dkdyd12**|팔길이도 적당하고 얇기도 적당하고 어느 바지에던 잘 입을수있을거같아요 너무 이쁘네요 ㅜㅜㅜ!!
dkdyd12**|조금 박시하게 입고싶어서 m으로 샀는데 핏이 진짜 딱 이쁘게 잘 떨어지네요 바지도 그렇게 길지 않고 너무 이뻐요ㅜㅜ
chlwl2**|뚱뚱한 사람들은 사지마요 속바지 진짜 작음...
whiteca**|박시한 핏이라고 보긴 봤는데, 생각보다 좀 더 큰 감이 있어요.  물빠짐이라 락스? 냄새 같은게 좀 나는데 꼭 탈취하고 입어야 될거 같아요 ~ 색은 인터넷에서 보는 색과 같아요.
whiteca**|저렴한 가격에 예쁜 귀걸이 구입해서 좋아요 ~ 실제로 보는 것보다 착용했을 때가 훨신예쁩니다.
whiteca**|롱 원피스느낌 보다 레이스로 되어 있어서 가벼운 느낌으로 입기 좋은거 같아요. 비침이 있다고 했는데 스킨색으로 이너웨이 입으면 전혀 비침없었어요~ 나시가 너무 얇아서 느낌이 없어 혹시나 올라가도 모를까봐라는 걱정 빼곤 옷 예뻐요.   벨트 움직임이 있습니다.
dpfla05**|생각보다 얇은 재질이라 놀랐어요 ㅠㅠㅠ 근데 옷은 예뻐용! 비쳐서 안에 나시 입어야 하구여 옷에서 식초 냄새 약간 났어요 ㅠㅠㅠ 그래도 옷이 예뻐서 만족합니당! 근데 옷 빨면  목 다 늘어날것같아요 ㅠㅠ
