kbg02**|너무 이뻐요♥♥     ♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥그리고 살때 한치수 더 큰걸루 사야할것 같아요ㅠ그래도 맘에 들어요
ajm7**|허허..여기 슬랙스 참 사기 힘드네요... 저번에 M 샀다가 너~~~무 커서 이번엔 S로 샀는데 종아리 부분이 쫌 작은 느낌... 편하기 다리를 구부릴수가 없어요ㅜㅜ 터질까봐 무섭... 반면에 허리랑 허벅지부분은 좀 크네요... 옷을 안으로 넣어도 좀 헐렁하지만 내려가진 않아수 다행이네요. 결론은 제가 종아리 살을 빼야겟어요..엉엉 천은 얇아서 봄여름가을에 딱일거같아요!! 옷은 이쁩니다!! 굿!!
freego**|배송은 문의해볼까 할정도로 느렸지만..가방은 이뻐요ㅋ 몇번들고나갔는데 생각보다 흠집도 잘안나고 깔끔하니 데일리로 잘들고다닙니다~!!
ajm7**|예뻐요..길이감 대박이에요.. 키가 작아서 이런 미디길이의 치마 1도 안사봤는데 아주 맘에듭니다ㅎㅎ 근데 허리가 좀 큰 감이 있네요. 딱 잡아주면 좋겠는데 커서 치마가 뒷쪽이 내려가는 느낌이네요. 그리고 지퍼는 아주아주 약~간 걸리는 부분이 있는데 쉽게 내리고 올릴수있어서 괜찮네요!! 맘에 듭니다!!
ajm7**|S인데 S가 아닌 느낌이네요. 그냥 M인듯 약간 큰 감이 없지않아 있네요. 그리고 단추구멍의 실밥처리가 깔끔하니 않네요 단추 뺄 때 실에 좀 걸리네요. 주머니 부분도 좀 그렇네요. 상품 자체는 예쁩니다!! 제품은 빠르게 배송되었고 깔끔한 상품으로 왔어요.
tpsk31**|뭔가 부해보이고 빠빳한코트재질인듯한 ㅠㅠ색감은 너무이쁜데 어정쩡한거같아요...주머니쪽벨트?그것도좀이상한거같고ㅠㅠㅠㅠ아쉬운옷
bjn66**|딱 맞게 들어가고 밑단이 조금 더 길어서 접어입을 수 있는 게 너무 좋아요 !! 검정 스키니가 질려서 이런 스키니 사고싶었는데 실패 안하고 정말 잘 샀어요 ~ 배꼽까지 가려져서 다리도 더 길어보이고 또 기모라해서 두꺼운 기모일까봐 걱정했는 데 얇게 펴져있어서 두꺼워보이지 않는게 좋았어요
qhdud19**|포토리뷰 일등!ㅎㅎ공간 활용하기 진짜 좋아요. 따로 지갑을 들고 다니지 않아도 된다는 점이 굳 ㅋㅋㅋㅋㅋㅋ 핸드폰 넣고 돈이랑 카드 넣고 화장품 두어개 챙기면 딱! 가격도 싸게 사서 부담 없이 메고 다닐 수 있구요ㅎㅎ 하나 더 사려구요 짱예존예 ㅎㅎ 검정색도 기대할게요⊙▽⊙☆☆
tpsk31**|요새 니트원피스에 꽂혀서 바로구매 ㅋㅋ길이도 딱좋구 브이라인도 커서 뭔가 좋아여무난한 회색이라 어디에나받쳐도좋은~ㅎㅎ
mimi51**|이뻐요! 방송에서 찍힌 사진이예요ㅎ
tpsk31**|목 니트사고싶어서 구매했는데 목쪽이 너무커여..목깁스한거같은느낌이고 그렇게보이는..ㅠㅠㅠ아쉽지만 그래두 잘입을게영
tpsk31**|산지는 좀됫는데 이제서야 리뷰남겨용 ㅋㅋㅋ블랙구매했구 기모라서 따땃해요롱치마 꽂혀서샀는데 나쁘진않은거가타용
tnwjd2**|색상이 화면이랑 비슷하기는 한데 머스타드보다는 황토색에 가깝네요~ 생각보다 목부분이 많이 파여있어요! 그래도 검은색 치마랑 같이 입으니까 입을만하네요! 잘입겠습니다~
texta**|진짜커욬ㅋㅋㅋㅋㅋ 큰 걸 알고 샀는데도 넘넘커용 너무커서 항아리? 같기도하고 핏은 애매한데 그래도 예쁘니까 잘 입고 다니겠씁니당!
skql80**|일단 스판 오지고 핏은 음...걍그랬어용ㅋㅌ 스판이 좋아서 진짜 편했고 밑에 컷팅이 잘되있어서 맘에 들었어요!! 전체적으로 꽤 맘에들었숩니당❤
ylyjhs**|가격에비해질도너무좋고 보들보들하고 다좋은데 보풀끼가 좀 잇는거같아요 계속쓰다보면눈에보이드라구요 그것만빼면다좋아요
ylyjhs**|첨엔 사이즈가 잘안맞아서 환불이나반품시킬까하다가 그냥입엇는데 스판끼가 좋아서 계속입다보니 늘어나괜찮아져서 그냥입어요
ylyjhs**|스판도좋고다좋아요
qkqh12**|별 생각없이 s샀는데 셔츠까지는 어떻게든 넣어서 입을수 있는데 니트부터는 넣으면 지퍼가 완전 안올라가서 입기가 조금 버거워요ㅠㅠ 그리고 먼지가 조금 잘 붙어서.. ㅠㅠ 그래도 핏도 예쁘고 디자인도 너무 마음에 들어요!
qkqh12**|기대하고 시켰는데 받고서도 완전 만족했어요! ㅎㅎ 색감도 예쁘고 핏도 진짜 예뻐요 친구들도 니트 잘샀다고 그러고 치마나 바지나 아무데나 다 잘 어울려서 입기에도 편했어요~
