altjs04**|딥네이비 이뻐요 ㅋㅋㅋㅋㅋㅋㅋㅋ 분홍색뺘고 두 색상 샀는데 개인적으로 내이비가 더 이쁜 것 같아요! 생각보다 흐물흐물하지먼 그래도 잘 입을게요!
altjs04**|갈색일 줄 알고 구매했는데 약간 주황빛이 더 많이 도는 것 같아요 ㅎㅎㅎㅎㅎ 그래서 길이나 핏 이쁘고 앞으로 봄에도 자주 입을것같아요 ㅎㅎㅎ
lim156**|무난하게 입으려고 블랙 주문했다가 봄이라 베이지로 변경했어요!! 품절로 배송은 2주 넘게 기다렸지만 진짜 기다린 보람이 있는 코트에여ㅠㅠ 꼭 사세요!!!! 절대 후회안해요 지금 날씨에 딱 입기 좋고 접혀서 와서 주름이 있긴 했지만 조금 다려서 입으면 더 이뻐요ㅠㅠ! 키가 큰 편이라 긴 코트 입고 싶었는데 길어도 길어서 무릎 밑으로 내려와서 너무 좋아요~ 절대 후회 안합니다~!!
altjs04**|밀크넛츠 색감이뻐요! 진한 배이지색? 황토색이에요 ㅎㅎㅎㅎㅎㅎ 목쪽을 쫀쫀하게 감싸주는게 따뜻하고 기장도 적당해서 자주 입을 것 같아요 !  잘입을게요!
altjs04**|싼가격에 구매했는데 괜찮아욬ㅋㅋㅋㅋㅋㅋㅋ생각보다 얇지만 귀여운 맛에 잘 입을게요 ㅎㅎㅎㅎㅎㅎㅎㅎ 이제 봄되면 더 자주 입을 것 같아요 ㅋㅋㅋㅋㅋ
sgjo03**|아직 입어보지는 않았지만 봄맞이 꽃 블라우스 산건데 여자여자해보이고 벚꽃필 때 입고가면 딱 예쁠 것 같아요 마음에 듭니다
tjsgid**|구매하고 나서 보니까 권장사이즈가 44-55반이라 작을까 걱정했는데 생각보다 여유로웠어요!! 여리여리해 보이는 핏! 정말 마음에 쏙 들었습니다..!! 주문한 날 바로 출고돼서 다음날 바로 도착했어용!
sgjo03**|꽃블라우스랑 입으려고 마음먹고 흰치마 하나 샀는데 아직 입어보지는 않았지만 면도 나쁘지않고 가격대비 괜찮은 것 같아요
sgjo03**|봄옷으로 기본티 사려고 블랙 색상이랑 같이 샀는데 청바지랑 입어도 잘어울리고 흰치마랑 입어도 잘어울리는데 팔길이가 좀 기네요ㅠㅠ
sgjo03**|봄 맞이해서 슬랙스랑 같이 입으려고 샀는데 팔이 약간 길긴 하지만 재질도 약간 루즈하고 하늘하늘거려서 편하게 입기 좋아요!
vlrmffpt**|일단 블라우스는 이뻐요ㅇㅅㅇ 밑에는 까만색이나 플레어/테니스 보다는 h라인 스커트랑 코디하는게 훨신 더 이뻐요저에게는 소매가 살짝 긴편이라 접어 입었어요 접어입어도 쬐금 나풀거려서 저는 소매에 갈비 다 뭍히고 먹었어요비침이 심하거나 그러지는 않아요 하지만 지금 날씨엔 이거 하나만 입기는 조금 춥고 가디건 같이 입으면  더 이쁜거 같아요!아마 4월초 정도 부터는 위에 특별히 뭐 안걸치고 입고나가도 좋을거 같아요
love8511**|이거 물건이에요 ㅋㅋㅋ 존예..깔별로 다 사놓고 싶어요 재질도 엄청 촬랑 거리는데 또 가볍지않고 그렇다고 두꺼운것도 아니고..어깨도 딱맞고 제가 상의 88을 입는데날씬해보이고 ㅋㅋ 너무 예뻐요 그리고 이가격인줄 모르겠음..고고싱에서 산 아우터중에 최고 득템ㅋㅋㅋ
love8511**|항공점퍼 이가격에 엄청 이뻐요..다 이쁜데 상품이 오염상품이 왔어요ㅠㅠㅠ가격도 괜찮고 해서 교환 요청 합니다 옷은 이쁜데 하필... 오염된게 와서 속상하네요
altjs64**|평소에 그냥 입고 다녀도 될거같은 옷이네용!
altjs64**|잘받았습니다!!! 요거 요즘날씨에 딱 맞는 옷이에요!! 생각보다 얇지 않아서 괜찮드라구요!!! 감사합니다아아아
altjs64**|이거는 뭔가 제가 원하던 소재가 아닌거같아서 조금 아쉬웠던거 같아요...제 동생 주니까 좋아하네요..ㅎㅎㅎ반품은 안해서 다행이네용
altjs64**|아주아주아주 좋아요!!! 뭔가 인생템이 될거 같은 느낌이랄까??ㅋㅋㅋ감사합니다!!잘받았습니다아아아아아ㅋ
