wlghclg**|넘나예뻐요>< 다음에도 또 사입고 싶어요 색깔별로 소장하세요ㅜㅜㅜ
guseb**|분명 S를 구입했는데 허리가 왜 이렇게 큰거죠....? 처음엔 너무 커서 사이즈가 잘 못온줄 았았는데 S가 맞더라구요... 벨트를해도 커요ㅠㅠ 벨트로 더 조이면 치마가 울어서 별로 안이쁘고...벨트할 때도 벨트가 큰건지 치마 벨트부분이 작게 나온건지 잘안되더라구요  반품을 해야되나 줄여입어야되나 고민했는데 그냥 입으려구요 니트랑 입으면 니트가 두꺼우니까 편하게 맞더라구요 그냥 티랑 입으면 허리가 너무 남아서 안이뻐보이지만... 치마가 너무 마음에 들어서 입다가 정 불편하면 줄여입어야 겠어요ㅋㅋ 허리큰거 빼고는 너무 이쁩니다
ymmj**|평소 사이즈는 맞는데.. 요즘 살쪄서 50kg정도 되는거같아요.. 뭐 1~2kg정도 더 나갈수도 있지만ㅋㅋㅋ 무튼 그래서 원래 26을 입지만 살쪄서 작을까봐 고민하고 또 고민해서 주문하게 됐어요. 아까 낮에 상품평 썼는데 어플은 사진올려고 하니까 어플이 강제종료 되더라구요. 그래서 집에와서 컴퓨터로 다시작성해요ㅠㅠ. 무튼 처음 딱 입었을때는 M으로 교환을 해야하나 싶었거든요. 맞기는 잘 맞는거 같은데 남들이 봤을때 부담스러워 할까봐ㅋㅋㅋ 근데 다음날 또 입으니까 하루입었다고 늘어난건지 정말 편하게 잘맞더라구요. 왜 요즘 스판좋은 바지 엄청 많잖아요. 그럴때마다 레깅스같지는 않을까 싶었죠. 스판이 좋으면 좀 레깅스같잖아요. 근데 이건 그냥 바지!!!!! 넘나 편하고 색도 정말이쁨. 니트랑 가디건도 같이샀는데 그건 한번 빨아서 입으려고 청바지먼저 후기남겨요. 적립금 받으면 중청도 살려고요ㅎㅎㅎ 넘나편함. 길이도 생각했던것보다 좀 더 짧은거 같지만 그래도 마음에 들엉ㅛ!!! 몸에비해 발목 엄청 얇은편인데.. 아주 짱짱함!!!
elf**|부분 배송 처리 해주셔서 생각보다 빨리 받았어요ㅎㅎㅎ 감사합니당 옷은 진짜 깔끔하고 예뻐요! 지금 딱 가디건이랑 입기 좋은 것 같아요 잘입을게요 ~~
elf**|부분 배송처리 해주셔서 빨리 받았어용! 감사합니다ㅎㅎㅎ 깔끔해서 막입기 좋을것 같아요ㅋㅋㅋ 이쁘게 잘 입을게요 ~~
guseb**|치마보다가 벨트가 너무 이뻐 보이길래 같이 구매했어요  같이산 치마에 너무 잘어울리네요 실버링이 포인트되서 너무 이뻐요 스키니나 반바지에해도 잘어울릴거같아요
bjh81**|가격보면 말도안되는 클러치인것 같아요레드포인트에 지퍼에 팬던트 달린것도 좋규아무데나 다 어울리고 많이 넣어도 모양이 많이 변하지 않아 효율성 짱입니다!데일리용 클러치 찾으시면 강츄 ㅎㅎ
dudtlf47**|고고싱에서 테니스스커트 쇼핑실패하고 잘이용안했는데 그동안 찜해왓었던 니트조끼가 상품으로들오왔길래 바로 구매햇는데...색은 똑같고 예뻤으나ㅠㅠㅠ 구멍이듬성듬성..거기다 니트조끼자체가너무커서 덩치잇어보이는 단점이ㅠㅠㅠ 가뜩이나 상체가 큰편인데ㅠㅜ 실망적..그래도색은예뻐여...
bjh81**|소매부분 짱짱해서 딱잡아줘서 좋구요!소매길이 맨투맨 기장 모두 넉넉해서 넘나 좋아요 ㅎㅎ재질도 괜찮고 데일리용으로 딱입니다!가격대비 짱짱추천 쾅!!
elsia**|하얀색 입은거 보고 사려고 들어왔는데ㅠㅠ아쉬운대로 네이비 주문했습니다 ㅎ이 색은 안받는거 같아서 ㅠㅠ 전혀 입지 않았는데 ㅎㅎ기본으로 하나씩 가지고 있으려고 구매했어요 ㅎ질도 나쁘지 않고 박음질도 양호해요 ㅎㅎ꼼꼼히 살펴서 배송해주셔서 감사합니다^^
elsia**|그레이색 사고 싶었는데 ㅠㅠ 블랙도 괜찮은거 같아요~전체적으로 굉장히 박시하구 ㅎ제 팔길이가 짧아서한번 접어 입었습니다^^*카라가 짝짝이라는 후기 듣고 불안했는데..엄청나게 차이가 나 보이진 않네요 ㅎㅎ저게 길이 맞는건지 짝짝인지 잘 모르겠을 정도의 미세한 차이..ㅋㅋㅋㅋ박음질도 양호합니다 ㅎ여름에 한번 제대로 실패해서..ㅠ한동안 구매를 망설였는데~이번엔 다 괜찮아서 기쁘고ㅠㅠ 다행이었어요~
pdmj2**|입금후 주말껴서 5일만에 왔어요! 조금 주름져서 왔어요ㅜ 그래도 색깔도 예쁘게 나왔고요 핏이랑 길이도 저한테도 잘맞았고 저랑 키비슷하시면 길이적당할겁니다!
tnal5**|사진으로 봤던 그 핏이 너무 똑같아서 놀랐어요 너무 예뻐요ㅠㅠ 바지 안에 넣어입었을 때 그 깔끔함이 진짜 마음에 듭니다ㅎㅎ 생각보다 브이자로 좀 많이 파여있어서 놀랬지만 알아서 조심하면 될거같아요 너무 예뻐요!!!
tnal5**|인기가 너무 좋아서 입고가 늦게 되는 바람에 오래 기다려 받았지만 기다린 보람이 있었어요!!! 다리살이 조금 쪄서 약간 아쉽지만 다리살 빼고 입으면 진짜 핏이 너무 예쁠거같아요!! 재질 자체도 너무 가벼워서 입기 너무 좋아요 그런데 생각보다 길이가 길더라구요 그리고 허리가 너무 커서 허리 라인은 안 예쁘지만 좀만 수선하면 괜찮을거같아요ㅎㅎ
