kny82**|활동하기 참 편할거 같아요!! 면도 얇아서 여름에 너무너무 시원할거 같구요 입고나가보지 못해서 자세하게 남기긴 좀 어렵지만 색깔도 빈티지스러운게 맘에 들고요 너무 짧은 기장도 아닌데다가 부담없이 입을 수 있어서 좋아요! 예쁘게 입고 다닐게요♡
29712322**|싸게잘산거같아서 만족스러워요.  이쁜티셔츠는 다 품절이라 아쉬워요. 같은디자인 다른색상도 사고싶어용
jjbak8**|허리를 잡아주지 못해요 ㅠㅠ 재질이 좋고 살랑살랑거리는 느낌은 좋아서 살빼려 입으렵니다....
29712322**|스킨이랑 같이 구매했어요. 미끄럼방지라 좋긴한데 뒤꿍치 벗겨지는것도 좀 개선되었으면 짱짱!!
29712322**|살짝 어깨가보이는 오프숄더라 크게 부담스럽지않고 예뻐용.. 진주단추가 떨어질까 불안하긴한데 옷은 너무이쁨
29712322**|연베이지 색상 구매했는데 원하던 핏이라 만족스러워요~~ 스판도 좋고 길이도 적당합니당 블랙도 살걸 싶어요
29712322**|어깨가 좀 있는편이라 모델분처럼은 핏이 안나요 그래도 핏이이뻐서 블랙색상도 주문하고 배송기다리는중이에용ㅎㅎ
29712322**|면소재?로 되있어서 주름이 조금 잡히긴한데 핏은 너무예뻐용 저렴하게 잘산거같아서 별5개개입니당ㅎㅎ 치마나 청바지에 잘어울려요
29712322**|단화신을때 신을려고 샀는데 잘 산거같아요~~ 스킨색이랑 블랙 둘다구매했는데 뒷꿈치쪽이 잘 벗겨지긴하지만 저렴하게사서 만족합니당
52537239**|배송이 늦어질줄알았는데 생각보다 너무 빨리 보내주셔서 진짜 너무 좋았어요!입어보니까 어때끈 쪽이 저한테는 너무 긴것같아서 제가 알아서 쭐여서 입고 가슴 패드도 빼서 입으면 더욱 더 예쁠것같아요 ! 정말 이만한 가격에 이 디자인과 퀄리티에 다시한번 너무나도 만족합니다 꼭 사세요 여러분 ! 잘 입겠습니당 ~~~~^^*
tnwls81**|진짜 뚱뚱이라 이런 색 안 사봤는데 갑자기 끌려서 우연히 샀더니 잘 어울리고 이쁘네요 날씬하면 더 이뻤겠죠?
tnwls81**|목이 아주 그냥 빡빡하니 좋았는데 금방 늘어나서 마음이 아프네요 그래도 이쁘고 마음에 들어요 또 날씬해보여요
tnwls81**|남방 필요해서 무슨 색 살까 고민하다가 안 입어본 색 사자해서 이 색 샀는데 잘 어울려서 좋아요
tnwls81**|길다고 하던데 진짜 너무 길어요..그래서 이뻐보이지 않아요. 그리고 계속 머리카락이랑 엉켜서 정리해줘야 해요..
poorol**|시스루 ㅎㅎ
poorol**|너무 고급스러워요
tnwls81**|따흑ㅜㅜㅜ진짜 너무 이뻐요ㅜㅜㅜ블라우스랑 같이 샀는데 진짜 여신 소리 듣습니다ㅜㅜ귀찌로도 분위기 연출할 수 있어서 행복해영
poorol**|지금말고 가을에~~ 소재 튼튼
poorol**|너무 고급스럽네요
tnwls81**|나시 필요해서 샀는데 잘 쓰고 있어요 근데 뚱뚱해서 말려 올라가요ㅜㅜㅜㅜㅜ그래서 다시 내려줘야 한답니다..
alswjd07**|고고싱에서 블라우스를 처음사봤는데 결과는 역시나 성공적♡V넥 블라우스를 찾던중 이 옷을 발견했는데 4가지 색상 모두 이뻐서 고민하다가 소라색으로 샀는데 색이 너무너무 예뻐요♡♡♡♡♡팔뚝살이 좀 있는편인데 입으면 팔이 얇아보여요바지에도 잘 어울리고 치마에도 잘 어울려서 더 좋아요♡날씨가 추워서 블라우스만 입기엔 쌀쌀해서 가디건 걸치고 입었는데 너무예뻐요재질은 제가 좋아하는재질이에요 부드러워서 너무 좋아요나중에 화이트나 핑크로 재구매 할 예정입니다♡♡이 옷 추천합니다♡
tnwls81**|사실 뱃살이 많아서 말려올라가긴 하지만 나시가 필요해서 산 만큼 유용하게 잘 쓰고 있어용ㅋㅋㅋ
mjyj**|무난하게 입을 수 있고 소매부분이 포인트네요 귀여워요ㅋㅋㅋ어느 옷이나 잘 어울리겠네요 잘입을게요~
tnwls81**|진짜 너무너무 예뻐용 블라우스 사고 싶어서 어쩌다가 넣었는데 너무 이뻐서 기절><다들 사세용
mjyj**|생각보다 조금 크네요..그래도 색깔 귀엽고 마음에 들어요 밤에 쌀쌀할때 입으면 딱일거같네요 잘입을게요!
mjyj**|이 옷 생각보다 예쁘고 너무 편해요ㅜㅜ길이감도 딱 맞구 어느 옷이나 다 잘어울릴것같아용 잘입을게요!!
sheets123**|이런색깔 티샤츠가 없어서 한번 사봤는데 괜찮은거 같아요. 청바지에도 잘어율리고 검은바지에도 잘어울려여
mjyj**|생각보다 너무 크네요ㅜㅜ약간 부해보이는 것 같기도 하고..그래도 예뻐용 레이스가 목 쪽이 짧아서 아쉽긴해요
