wjdtjs2**|친구 선물용 으로 샀는데 무난하게 하고 다니기도 좋고 좋아요 다만 목도리 끝에 메이드인 있어서 조금 아쉬워요 그것 말고는 좋아요!
gpqls1**|너무 예뻐요 ㅠㅠ ㅠㅠㅠㅠㅠㅠㅠㅠㅠ팔이 짧은 탓에 팔이 좀 길어서 두 번 정도 접었어요 근데 접으니까 더 예쁨예쁨처음 딱 들었을 때 아 무겁네.. 싸니까 어쩔 수 없지 했는데 입으니까 하나도 안 무겁더라구요색감도 무난하게 잘 나온 것 같고!세일해서 싼 맛에 확 샀는데 생각보다 맘에 들어서 좋았어용
syc40**|가격이 너무 싸서 기대안하고 샀는데 코코아 색깔도 너무 예쁘고 핏도 예뻐요! 3주전인가 그때 사서  입고 나갔는데 목이 따뜻해서 목도리 할 필요도 없고 ㅜㅜㅜ 정말 마음에 들어요 다음에는 와인으로 사야겠네요~ 항상 고고싱에서 사는 옷들은 절대 후회안해요! 고고싱만한 쇼핑몰은 없는거 같네요~
ak21**|나름 편하고 좋아영
anaregi**|받은지 꽤 됬는데 이제써요ㅜㅜ 진짜 예뻐요 완전 따뜻하고 추울때입었는데도 따뜻하게 잘입었어요 색상을바꿧는데 바꾼대로 보내주시면서 빨리보내주시니까 진짜 최고ㅠㅠ 고고싱 그냥 제일좋아요 앞으로 인터넷쇼핑몰은 고고싱만 이용할거에요ㅠㅠㅋㅋ 항상감사합니당♡
dudmlwns**|A보다는 살짝 H같아요 지퍼가좀뻑뻑하고 실밥이 튀어나온것만아니면 진짜이쁜거같아요 길이도 딱 적당하고 같이산 니트하고 진짜잘어울리는것같네요!!사이즈가 딱히 나와있는게아니라서 걱정하고샀는데 역시 살짝큰거같아요 그래도 만족 이쁘게입을게요♥♥♥
snrnrp**|음 이거 편하게 아무대나입을려고 하나샀는디 생각보다 더맘에들어요 ㅋㅋㅋㅋㅋ 안에 기모얆게들어가잇어서 겨울에 입기딱좋고 ㅋㅋㅋㅋ 제가 키가작아서 다리가좀짧은데여 근대 신축성도좋고 텐션이좋아서 다리에예쁘게 딱붙어요!! 그래서 다리짧은데도 ㄱㅊ ㅎㅎㅎㅎ나중에 혹시 기모없는것도 올라오면 그것도 사구시퍼영~
qlrqodv**|평소에 울코트 사고 싶었는데 고고상에서 싸게 잘산것 같아요!! 옷이 두툼해서 요즘 엄청 추워졌는데도 안에 옷 하나만 입고 이 코트를 걸치면 허나도 안추워요!! 몽글몽글해서 귀여워 보이기도하고 여성스러워 보이기도해서 참 좋은 것 같아요~~
wlsthfl**|생각했던것 보다는 좀 얇고 목부분이 좁았어요ㅠㅠ 목이 살짝 헐렁하길 바랬는데 딱 맞은 느낌? 그래도 색이나 전체적인 디자인은 다 너무 좋았고요~ 이너입고 입으니까 굉장히 따듯하더라고요!! ㅎㅎ 다른 색상들도 구입하면 좋을꺼 같아요~ㅎㅎ
snrnrp**|이거 아이보리구매했는데요~ 원래 네이비사고싶었는데 제가살때 네이비가 품절이라서 ㅋㅋㅋㅋㅋ 아이보리 울며겨자먹기로이뻐서 그냥삿는디 웬걸 아이보리도이뻐여!!ㅋㅋㅋㅋㅋㅋ 반바지에 살짝껴입어도이쁘고 모델언니처럼 연청 바지하나사서 그렇게입구시퍼영 ㅎ근대 목쪽에 너무 넓어서 좀 그런데 오히려 좁았으면 더이상햇을거같기도하고 ㅋㅋㅋㅋ 걍 조아여 만조쿠
qwebnm**|워커 굽이 생각했던 것 보다 두껍고 크고 높아서 놀랐어요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그래두 디자인이 심플해서 이뻐요! 평소 운동화 225신고 구두나 워커는 230 신는 편이여서 230사이즈로 주문했는데 살짝 크네요.....ㅎㅎ그래도 만족스러운 상품입니다!
dpflsgi**|좀많이 얇아서 비치긴하는데 되게 간단하게 입을 수있어요 그 손나은이 조명때문에 의도치않게 시스루의상을 입은것처럼 보였었는데 그옷과 굉장히 비슷한 느낌이드는 재질입니다. 그런게 싫으시다면 구매를 좀 망설여보시는것도 .. 그런게 상관없으시다면 저는 정말 강추하는 제품입니다!!
yhj18**|하얀 니트가 없어서 장만했어야 했는데 마침 여기 딱 제가 원하는 스타일이 있네요ㅎ 정말로 그리 두껍지도 않고  그리 얇지도 않은 딱 적당한 두께에 길이도 합격!! 생각한것보다 너무너무 맘에 들어요 특히 제가 박시한 옷을 좀 좋아하는데 이 기회에 다른 색깔도 구매해볼까 생각중이에요*^-^*
tpgml02**|목도리퀄리티가 정말좋네요! 완전따뜻하고 부드럽고 이가격에 이 품질인게 믿어지지않네요>_< 남자친구도 같은거로 하나 사줘야겠어요! 커플목도리로도 좋을거같네요근데 배송이 좀 오래걸린거같네요ㅠㅠ주말이껴서 그런가봐요 그래도 목도리가 너무 예뻐서 괜찮아요 ㅎㅎ그리고  리무버티슈도 사은품으로 주셔서 감사합니다^^
dudmlwns**|진짜좋아요 처음에 소매가 크길래 조금 걱정했었는데 막상입어보니까 이쁘네요ㅜㅜ 카키색이랑 코코아색 중에 고민을 많이했었는데 코코아가 카키빛이 이쁘게돌아요!! 조금얇기는한데 겉옷입으면 따듯해요 예쁘게잘입겟습니다♥♥♥♥♥♥♥♥
snrnrp**|이거산지는좀됬는데 진짜편하구조아여 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ따뜻하구!! 안에기모가 생각보다 부드럽게 도톰하게 들어가있어요~~~!! 블랙이랑 블루 두개샀는데 블랙은 기본이라서 좋구요 오히려저는 블루가 얼굴이 더 하얘보이는거같구 더조아여 ㅋㅋㅋㅋㅋㅋ ㅋㅋ제 데일리템♡-♡
kittenc**|솔직하게 쓸게요! 일단, 빨면 망합니다 택배도 빨리 온 편이고 음 진짜 핏도 이쁜거같고 길이도 적당했고 완전 맘에 들어서 여기저기 입고 다녔어요~ 그러다가 빨아야 될거같아서 손빨래로 빨았는데... 진짜 너무 많이 늘어나서 버렸어요..ㅋㅋㅋㅋ 또 살까 생각해봤는데 다시 늘어날것같아서 그냥 다른거로 사보려고 합니다ㅜㅠㅜㅠㅜ
dpflsgi**|핏도 넉넉하고 이쁩니다. 루즈하게 나와서 편하기도하고 검은색옷에 입으면 심플하고 되게 이뻐요 ! !코트안에 레이어드로 입어도 너무 이뻐요!!!!!!!!!!다들 구매하신다면 후회 없이 입으실것같아여!!그리고 허리에묶어서 치마처럼 표현해도 되게 이뻐요
wlsthfl**|딱 가격값 하는거 같아요~ 일단 터치가 잘되고요!! 손이 작은 저한테 크지않고 잘 맞아서 더더 좋았던거 같아요~ㅎㅎ 조금 얇은감이 있지만 막상 끼면 따듯합니다 ㅎㅎ 디자인 덕분에 어디에나 매치하기 좋은거 같아요 ㅎㅎ 싼값에 잘 산거 같습니다
qwebnm**|코드 살 때마다 항상 재질이 맘에 안들거나 너무 얇거나 보풀이 일어나서 만족스럽지 못했는데 , 이 제품은 재질 상 코트가 너무 빳빳한 느낌이 있는데 그 대신에 핏이 이쁘게 딱 떨어지고 도톰해사 따뜻하게 잘 입을 수 있을 갓 같네요! 만족합니다!!
kity41**|어두운 거 하나 밝은 거 하나 구입했는데요둘다 너무 만족!! 생각했던 것보다 사이즈가 많이 컸는데요 입어보니까 뚱뚱해보이지도 않고 적당했어요!! 품이 커서 안에 여러겹입고 입어도 좋아용ㅎㅎ 블랙이 진짜 진리인거 같아요 너무 이쁨ㅠㅠ
timese**|이뻐요!!흰색인댜도 별로 안비치고 두께도 꽤두꺼유ㅓ서 따뜻해요. 근데 머리 넣고 빼기가 좀힘들긴 한데 그래도 입으면이뻐요.제가 좀 퉁퉁한편인데 좀 딱맞아요.. 팔도 좀 작은느낌나고.. 그래서 날씬한분들이 입으면 더이쁠거같애요 저는 살짝작은느낌잇어서 코트안에 입어요
dpflsgi**|잘 늘어 나지도 않고 핏도 잘 떨어져서 날씬해보입니다 그리고 어떤 옷에 매치해도 잘어울리고 남방안에 레이어드 해서 입어도 이쁘고 그냥 단독으로 입어도 너무 이뻐요!! 재구매 할때는 흰색으로 구매하려고 합니다! 흰색과 검은색 기본티로는 정말 손색없이 좋은 티입니다!
stgi**|롱패딩을 사고 싶었지만 품절이어서 코트점퍼야 누빔패딩을 샀어요. 사진과 똑같구요 엄청 따듯합니다. 잘 산것 같아요. 기장은 무릎쯤 오는 것 같구여 저는 오버사이즈를 좋아해서 그런지 넉넉한 폼이 좋았습니다만 완전 마르신분들은 좀 클수도 있어요. 전 대만족이에요. 항공점퍼같은데 길이감도 있고 폭신폭신 따듯하고 색감도 좋고 흔하지 않은 것 같아 좋았어요. 넥라인도 마음에 들구요. 쟈크겉에 단추로 이중 잠금할수 있어서 좋아요. 주머니에도 단추가 있어서 돈이나 카드를 넣어도 안심되었구요. 빠른 배송해주셔서 이거 입고 잘 놀러 갔다올수 있었어요. 계속 밖에 있었는데도 따듯했어요. 무엇보다 세일가로 사서 더 좋았습니다. ㅎㅎ저렴하게 샀지만 옷이 저렴하게 안보여요 ㅋㅋ 그리고 이런 스타일 완전 좋아요. 계속 이것만 입을 것 같아요. 완전 따듯 아이템이에요 ㅎ
sb011**|진짜두툼해요 오자마자이거입고나갔는데 따스하더라거요 그리고사진은 빛때문에 색이이상해보이는데 그냥 검정이예요 재질이 보들하고요 길이도딱맞고 지금입고다녀도 괜찮아요!!
kinnm**|옷 완전이뻐요 핑크색으로 삿는데 어울릴까 걱정햇는데 너무 잘어울려욤 ㅎㅎ 받자마자 기분이 좋앗어여 ㅎㅎㅎ 이쁜 옷 많이 팔아주새여 ㅎㅎㅎ 고고싱에서 옷 많이 살게요 감사헙니당 ㅎㅎㅎ 다들 추천이에염 ㅎㅎ 번창하세여 삉삉 ㅎㅎㅎㅎㅎㅎ
qwebnm**|바지나 치마 살때마다 사이즈가 매번 애매하고 핏도 이쁘게 안나오고 그랬는데 밴딩으로 처리된 제품이여서 사이즈에 맞게 입을 수 있구 핏도 잘 나와서 만족스러운 상품이에요!지금 입기에는 좀 추울 갓 같고 봄이 이쁘게 입어야 겠어요!!!!!
kity41**|기본으로 입기 딱 좋아용♥♥♥이거하나입고 남방입으면 좋을 거 같아서 하나 구입했어영ㅎㅎㅎㅎ 기본템이라 그런지 신축성도 좋고 야러모로 자주 입을 거 같아요ㅎㅎㅎㅎ하나씩운 가지고 있으면 좋을 듯합니당!!!!!잘입을게여~~~
wlsthfl**|아직은 너무 얇아서 입고 다닐수가 없어요 ㅠㅠ 봄에는 진짜 자주자주 입어줘야겠어요 ㅎㅎ 생각보다 짧았어요 제가 작은키인데 손만세하면 보이는 정도?? 그래도 색이나 디자인 같은게 너무 맘에 들어서 자주 입고 다닐수 있겠어요 너무 예뻐요 ㅎㅎ
dpflsgi**|스판도 좋고 핏도 잘빠져서 날씬해보여요 !!다만 검은색이라서 먼지가 많이 붙긴 하는데 검은색 바지는 웬만하면 다 그렇기 때문에 먼지 붙는거나 하얗게 변색되는게 싫으신 분들은 좀 고민해 보시고 사시면 좋을 것 같아여 이런거 별로 신경 안쓰시는 분들은 충분히 재구매 의사가 있을 만큼 좋은 제품입니다!
doubleni**|키가 커서 걱정했는데 길고 입었을 때 되게 이뻐용ㅋㅋ가격대비 이정도면 진짜 괜차는듯!!! 한겨울엔 추워서 못입겠지만 코트가 그렇듯이ㅋㅋ 강추에여ㅋㅋㅋ 체크사고 싶었는데 잘사게된것 같아서 좋아용ㅎㅎ 잘 장만하고 갑니당!!!!
kinnm**|이뻐욤 ㅎㅎ 배송도 빨랏고 요즘 날씨에 입어도 괜찮을것같아욤 ㅎㅎ 고고싱옷은 항상 맘에들어서 항상 옷 살때마다 기분이좋아요 담에도 고고싱에서 많이 살게염 ㅎㅎ 더더 이쁜옷 많이 팔아쥬새요 추천추천 완전 추천이에욤 ㅎㅎ 많이 파세영ㅎㅎ
gmlwn22**|첨엔 완전커서 반품할까 엄청고민햇는데그냥 입자는 마인드로 입고 다녓는데자주 입어서 그런지 은근 따듯하고 길이도 딱 좋고 색상도 좋고마음이 확 바낌요!!지금은 저거만입고다녀요 ㅎㅎ저 옷에 후드 입으면 진짜 완전이쁘고❤️❤️동생들도 막 탐내해서 싸운적도 잇어욯ㅎㅎㅎ
wlsthfl**|딱 위에 사진이랑 똑같아요ㅎㅎ 무난하게 데일리로 많이 입을 수 있을꺼 같아요 브라운 샀는데 다들 아저씨 옷 같다고는 하지만... ㅠㅠ 좀 더 밝은색으로 살껄 했나 싶지만 완전 편하고 봄에는 자주 입고 다닐꺼 같아요 ㅎㅎ 아 주머니가 살짝 끝쪽에 있는거 빼고는 다 괜찮습니다~
dpflsgi**|되게 이쁘게 잘빠졌는데 28사이즈를 평소에 입었는데 이 바지는 좀 작게 나온 듯 싶어요 스판끼도 적어서 바지입을때 좀 많이 불편하네요.그리고 스판끼가 없는 반면 발목부분은 크게 나와서 발목만 좀 많이 남아요 실측 사이즈 잘보고 구매하시면 만족할 수 있을거에요
rudrlthwjd**|일단 목부분이나 밴드 부분들이 쫀쫀해서 좋아요 ! 색도 진한 갈색인데 촌스럽지 않고 예쁘고 단점은 한번 빨면 길이가 좀 짧아져서 팔을 잘 못들어여 안에 뭐 입지 않는이상 ㅠㅠ 그거 빼고는 진짜 괜찮아요 추천추천 통통하셔도 진짜 넉넉하니깐 고민하지 말고 구매하세요
dbflawl**|길이 무릎 조금 안되게 와요 코트 자체는 되게 이쁜데 역시나 품이 너무 커서 감당이 안돼요ㅋㅋㅋ어깨선도 밑에 있고 팔도 길어요던추 안잠그고 열어서 입는게 훨씬 이쁘고 울코트라 그런지 따듯해요체크코트라 코디하기 조금 힘들긴한데 무난한 데일리템 위에 걸치면 예뻐요
p100**|하 역시 누빔에다가 울..... 저 요즘 딥그린 코트 사고 싶은건 어뜨케 알앗는징 이렇게 딱 세일기간에 같이 파시다니 ㅠㅠ힝 고고싱 사랑 ㅠㅠ 근데 살짝 흠이 어깨라인ㅇㅣ 완전... 아래에여.. 완전까진아니긴해도 아래 ... ㅠㅠ 전 나름 딱 떨어질 줄 알았는딩 ㅠㅠ 전혀아님 ...그라도 울을 이정도 가격애 산것도 감지덕지 개이득 ㅠㅠ 스릉해염
zhee**|정말정말 편해요! 안에 안감? 기모? 같은게 있긴한데 아직 한개만 입고다니기에는 추워서 히트텍입고 입어요 그럼 정말 따뜻한 것 같아요.ㅋㅋㅋ 어디에나 어울리고 편하게 입을 수 있어서 좋아요 가격도 저렴하고. 정말 데일리 아이템으로 최고인것 같아요
dpflsgi**|가죽도 좋고 탄력도 좋아요~ 어떤 바지에 매치해도 블랙이라서 잘 어울리고 편하게 할 수 있는 벨트에요!! 벨트를 채웠을때 끈의 길이가 적당해서 여유끈이 적당히 남아서 좋아요 ! 재구매의사 100퍼센트 있습니다!!다음엔 브라운으로 구매해서 번갈아가며 해도 좋을 것 같아요
wlsthfl**|남자친구랑 둘이 커플로 하려고 샀는데 둘다 무난하게 잘 어울렸어요~ 처음에 왔을때 좀 냄새가 심..했지만 빨고 나니 괜찮았고요 ㅎㅎ 되게 조그만한데 목에 둘렀더니 엄~청 따듯하더라고요~남자친구도 많이 좋아했어요ㅋㅋ 싼 가격에 잘 건진거 같습니다~
inlove9**|그레이 색상으로 샀는데 진짜 너무 예쁘고 편해서 자주입어요 박시해서 스키니랑 입기 어울리구 반바지랑 어울려서 이뻐요~ 키 160에 엉덩이 다가려요! 재질도 좋구 걍이쁨  접는것보다 안에 티 입고 입는게 더이쁜 것 같아요 가격 조금 비싸다 생각했는데 옷이 이뻐서 만족해용ㅎㅎ
p100**|너무이뻐여...진짜 역시 너무너무 맘에 드렀던 ㅠㅠ 이거 너무 갖고싶엇는데 세일할 때 사서 완전 개이득에다가 하얀게 너무 맘에드네염 ㅠㅠ 진짜 또 흰색이라 아무데나 살짝 둘러도 넘나 이뿜이뿜 ㅠㅠ 하얀게 또 너무 강아지 털 같은겤ㅋㅋㅋㅋㅋ귀여움 ㅠㅋㅋㅋ
wndms74**|아이보리색 시켰는데 생각보다 도톰하고 따뜻하고 이뻐요 그리고 좀보들한듯 잘산것같고 핑크색살까도 고민했는데 나중에 기회가된다면 사고싶네요 그리고 배송이 너무느렸지만 같이넣어준 리무버티슈 너무좋았어용ㅎㅎㅎ 처음에얼어있어서당황ㅋㅋㅋ 재구매의사있어요~
