wkaocjs**|빨리 올줄알았눈데 좀 늦었네요. 그래도 바로 입고 외출~ㅎㅎ 좋아요 부들부들 하니 부드럽습니다
hanjae05**|스퀘어 버클백 블랙 색상 구매했는데 ㅎㅅㅎ 가격대비 넘 예쁘고 맘에 들어요 ,, 가방이 미니백 느낌히 확 들긴해도 들어갈건 다 들어가고 좋아요! 일본여행 갈 때 매려고 산건데 요샌 계속 매고 다녔어요 예쁜 가방 최고 ^^77
24736349**|스키니보다 적당히 헐렁한 바지를 좋아해서 구매했는데, 키가 작다보니 저한테는 너무는 아니지만 좀 컸어요. 종아리 부분은 많이 컸고 허벅지 부분은 조금 헐렁해서 딱 좋았어요. 연청색 바지가 연청으로 골랐는데 색깔도 이쁜편이고 편하고 좋았어요.
82165245**|너무 이뻐요!! 가격도 착하고 약간 밑에가 퍼지긴 하는데 끈이 있어서 잘 조절하면 그렇게 펑퍼짐 해보이지 않아요 리본도 너무 귀엽고 놀러갈 때 입으려고 샀어요 색깔도 너무 쨍 하지 않고 딱 네이비에요 ㅎㅎ
82165245**|좀 길줄 알앗는데 딱 허리 까지 오네요 ㅠㅠㅠ 팔뚝살 때문에 커보이기도 하고 이너로만 입어야 할거같아요 기본티로 입으려고 샀어요
tladnjs2**|브라운도 갖고 싶었지만 고민하다가 아이보리로 샀는데 워낙 반오픈 스타일 블라우스를 좋아해서 맘에 드네요!! 이런 블라우스가 더 많이 업뎃되면 좋을거 같아요 만족합니당!
tladnjs2**|목도리 색상 정말 이쁘고 체크무늬도 예쁘게 나왔어요 그리고 따뜻하고 목도리가 생각보다 커서 실내에서는 담요처럼 무릎 덮고 있을수도 있어서 좋더하구요
tladnjs2**|레이어드 단가라 이런 스타일에 관심이 가서 한번 사봤는데 핏이 맘에 들어요! 하나 더 구매할까 싶은 아이에요 기본으로 가지고 있으면 활용하기 좋을것 같아용
tladnjs2**|보자마자 너무 이뻐서 샀어요! 원래 끝부분 이런식으로 되어있는 치마 안좋아해서 안샀는데 이건 정말 이쁘네요 날씨 풀리면 많이 입으려구요!
tladnjs2**|저렴한 가격이라 너무 얇을까 걱정했는데 생각보다 도톰하고 디자인이 이쁘네요 색감도 너무 황토색 같지 않고 예뻐요
tladnjs2**|기본 목폴라티 너무 갖고 싶었는데 목이 너무 올라오는 건 답답해서 맘에 드는걸 못 찾고 있다가 이거 발견하고 바로 샀어요! 목 올라오는 것도 적당하고 이뻐서 맘에 들어요
kelly06**|예전부터 사려고 생각해놨는데 어느날 보니까할인하고 있더라고여!!! 이때다 싶어서 바로 구매했습니당 (*´∇｀*)양털 외투를 싸게 장만해서 일단 기분이 좋구여 ㅎㅎ아이보리는 품절이라서 그레이로 샀습니당아이보리는 제 성격상 빨리 때탈거 같아서 그레이 선택한게 더 나은거 같기도 하네욥두께는 그렇게 두껍지 않아서 지금 하나만 입고 돌아다니기엔추울거 같아요.... 날 조금 풀리면 입으려구여ㅠㅠ
kelly06**|이거.... 진짜... 제 인생템입미다...사이즈는 M으로 샀어여! 인터넷에서 사는 치마들이제 키가 좀 있다 보니까 다 너무 짧아서 불편했는데ㅠㅠ이건 길이도 예쁘게 짧은 길이고 질도 좋은거 같아요!블라우스랑 같이 입으려고 샀는데 아직 블라우스는 입고예정이라서ㅠㅠ기다리고 있지만 같이 입으면 진짜 예쁠거같아여!!!사진에서 보는것 보다 실물킹입니당...!!!
bsyb06**|배송오고 처음입어봤는데 다들 이쁘다고 어울린다고 해준 옷이에요!! 리본이 길긴 하지만 별로 신경 안쓰이기도 하고 검정바지든 청바지든 같이 입으니까 이뻤어요 고고싱에서 거의 6년정도 쇼핑하면서 처음 포토후기 올려욥ㅎㅎ잘입겠습니당 고고싱 최고 !!
